time,x_vverlet,p_vverlet,x_beeman,p_beeman
8.500000,-748288838313423291041283473037641583919132672262144.000000,7015207859188343311973657691449268820997898168696832.000000,-1073066979942513419187878229159425767756922250854400.000000,3073889786293657868587829413175004400085607152353280.000000
8.600000,2993155353253693164165133892150566335676530689048576.000000,-28060831436753373247894630765797075283991592674787328.000000,4292267919770053676751512916637703071027689003417600.000000,-12295559145174631474351317652700017600342428609413120.000000
8.700000,-11972621413014772656660535568602265342706122756194304.000000,112243325747013492991578523063188301135966370699149312.000000,-17169071679080214707006051666550812284110756013670400.000000,49182236580698525897405270610800070401369714437652480.000000
8.800000,47890485652059090626642142274409061370824491024777216.000000,-448973302988053971966314092252753204543865482796597248.000000,68676286716320858828024206666203249136443024054681600.000000,-196728946322794103589621082443200281605478857750609920.000000
8.900000,-191561942608236362506568569097636245483297964099108864.000000,1795893211952215887865256369011012818175461931186388992.000000,-274705146865283435312096826664812996545772096218726400.000000,786915785291176414358484329772801126421915431002439680.000000
9.000000,766247770432945450026274276390544981933191856396435456.000000,-7183572847808863551461025476044051272701847724745555968.000000,1098820587461133741248387306659251986183088384874905600.000000,-3147663141164705657433937319091204505687661724009758720.000000
9.100000,-3064991081731781800105097105562179927732767425585741824.000000,28734291391235454205844101904176205090807390898982223872.000000,-4395282349844534964993549226637007944732353539499622400.000000,12590652564658822629735749276364818022750646896039034880.000000
9.200000,12259964326927127200420388422248719710931069702342967296.000000,-114937165564941816823376407616704820363229563595928895488.000000,17581129399378139859974196906548031778929414157998489600.000000,-50362610258635290518942997105459272091002587584156139520.000000
9.300000,-49039857307708508801681553688994878843724278809371869184.000000,459748662259767267293505630466819281452918254383715581952.000000,-70324517597512559439896787626192127115717656631993958400.000000,201450441034541162075771988421837088364010350336624558080.000000
9.400000,196159429230834035206726214755979515374897115237487476736.000000,-1838994649039069069174022521867277125811673017534862327808.000000,281298070390050237759587150504768508462870626527975833600.000000,-805801764138164648303087953687348353456041401346498232320.000000
9.500000,-784637716923336140826904859023918061499588460949949906944.000000,7355978596156276276696090087469108503246692070139449311232.000000,-1125192281560200951038348602019074033851482506111903334400.000000,3223207056552658593212351814749393413824165605385992929280.000000
9.600000,3138550867693344563307619436095672245998353843799799627776.000000,-29423914384625105106784360349876434012986768280557797244928.000000,4500769126240803804153394408076296135405930024447613337600.000000,-12892828226210634372849407258997573655296662421543971717120.000000
9.700000,-12554203470773378253230477744382688983993415375199198511104.000000,117695657538500420427137441399505736051947073122231188979712.000000,-18003076504963215216613577632305184541623720097790453350400.000000,51571312904842537491397629035990294621186649686175886868480.000000
9.800000,50216813883093513012921910977530755935973661500796794044416.000000,-470782630154001681708549765598022944207788292488924755918848.000000,72012306019852860866454310529220738166494880391161813401600.000000,-206285251619370149965590516143961178484746598744703547473920.000000
9.900000,-200867255532374052051687643910123023743894646003187176177664.000000,1883130520616006726834199062392091776831153169955699023675392.000000,-288049224079411443465817242116882952665979521564647253606400.000000,825141006477480599862362064575844713938986394978814189895680.000000
