p,acc
1.2171,0.54433
1.21796,0.54433
1.21882,0.54395
1.21968,0.54538
1.22054,0.54482
1.2214,0.54432
1.22225,0.5422
1.22311,0.54196
1.22397,0.54425
1.22483,0.54193
1.22569,0.54479
1.22655,0.54215
1.22741,0.54189
1.22826,0.54367
1.22912,0.54024
1.22998,0.54141
1.23084,0.54063
1.2317,0.54216
1.23256,0.53906
1.23342,0.54095
1.23427,0.54199
1.23513,0.54172
1.23599,0.53995
1.23685,0.53861
1.23771,0.53783
1.23857,0.53979
1.23943,0.54037
1.24028,0.54267
1.24114,0.53764
1.242,0.5401
1.24286,0.53802
1.24372,0.53809
1.24458,0.53588
1.24544,0.53773
1.24629,0.53658
1.24715,0.53418
1.24801,0.5387
1.24887,0.5392
1.24973,0.53478
1.25059,0.53552
1.25145,0.53659
1.2523,0.53755
1.25316,0.53571
1.25402,0.53672
1.25488,0.53564
1.25574,0.53782
1.2566,0.53459
1.25746,0.53322
1.25831,0.53513
1.25917,0.53653
1.26003,0.5335
1.26089,0.5341
1.26175,0.53326
1.26261,0.53324
1.26347,0.53602
1.26432,0.5351
1.26518,0.53116
1.26604,0.53419
1.2669,0.53519
1.26776,0.53482
1.26862,0.53121
1.26948,0.53199
1.27033,0.53434
1.27119,0.53368
1.27205,0.53512
1.27291,0.53014
1.27377,0.53281
1.27463,0.53413
1.27549,0.53296
1.27634,0.53076
1.2772,0.53301
1.27806,0.53391
1.27892,0.53038
1.27978,0.53281
1.28064,0.53181
1.2815,0.52824
1.28235,0.53077
1.28321,0.52944
1.28407,0.52949
1.28493,0.52864
1.28579,0.53019
1.28665,0.52792
1.28751,0.52685
1.28836,0.52967
1.28922,0.52892
1.29008,0.52761
1.29094,0.52878
1.2918,0.52726
1.29266,0.52817
1.29352,0.52809
1.29437,0.52695
1.29523,0.5279
1.29609,0.52672
1.29695,0.52649
1.29781,0.52637
1.29867,0.52488
1.29953,0.52673
1.30038,0.52523
1.30124,0.52631
1.3021,0.52664
1.30296,0.52589
1.30382,0.52284
1.30468,0.52426
1.30554,0.52686
1.30639,0.52227
1.30725,0.52535
1.30811,0.52349
1.30897,0.52228
1.30983,0.52591
1.31069,0.52381
1.31155,0.52388
1.3124,0.52403
1.31326,0.52367
1.31412,0.52419
1.31498,0.52026
1.31584,0.52227
1.3167,0.52359
1.31756,0.52395
1.31841,0.52147
1.31927,0.52181
1.32013,0.52271
1.32099,0.52079
1.32185,0.51915
1.32271,0.52056
1.32357,0.5217
1.32442,0.52003
1.32528,0.52008
1.32614,0.52302
1.327,0.51957
1.32786,0.5182
1.32872,0.52011
1.32958,0.52189
1.33043,0.52212
1.33129,0.51835
1.33215,0.52081
1.33301,0.51752
1.33387,0.51825
1.33473,0.51916
1.33559,0.51978
1.33644,0.51772
1.3373,0.51554
1.33816,0.51741
1.33902,0.5169
1.33988,0.51865
1.34074,0.51822
1.3416,0.51897
1.34245,0.51484
1.34331,0.51476
1.34417,0.51779
1.34503,0.51309
1.34589,0.51539
1.34675,0.51744
1.34761,0.5187
1.34847,0.51473
1.34932,0.51525
1.35018,0.51391
1.35104,0.51623
1.3519,0.51321
1.35276,0.51368
1.35362,0.51444
1.35448,0.51514
1.35533,0.51492
1.35619,0.51286
1.35705,0.51415
1.35791,0.51082
1.35877,0.51245
1.35963,0.51316
1.36049,0.51346
1.36134,0.51646
1.3622,0.51263
1.36306,0.51116
1.36392,0.51411
1.36478,0.51266
1.36564,0.51202
1.3665,0.51429
1.36735,0.51036
1.36821,0.50908
1.36907,0.51081
1.36993,0.50876
1.37079,0.5137
1.37165,0.51236
1.37251,0.50884
1.37336,0.51206
1.37422,0.51062
1.37508,0.50993
1.37594,0.50947
1.3768,0.51137
1.37766,0.51212
1.37852,0.50709
1.37937,0.51127
1.38023,0.50918
1.38109,0.51061
1.38195,0.50934
1.38281,0.50861
1.38367,0.51086
1.38453,0.50662
1.38538,0.50806
1.38624,0.50672
1.3871,0.5049
1.38796,0.50784
1.38882,0.50462
1.38968,0.50758
1.39054,0.50629
1.39139,0.50703
1.39225,0.50598
1.39311,0.50739
1.39397,0.50727
1.39483,0.50626
1.39569,0.50577
1.39655,0.50342
1.3974,0.50439
1.39826,0.5035
1.39912,0.50231
1.39998,0.50511
1.40084,0.50396
1.4017,0.50793
1.40256,0.50565
1.40341,0.50325
1.40427,0.5058
1.40513,0.50177
1.40599,0.50337
1.40685,0.50383
1.40771,0.50063
1.40857,0.50043
1.40942,0.50366
1.41028,0.50303
1.41114,0.50153
1.412,0.50408
1.41286,0.50051
1.41372,0.50309
1.41458,0.50062
1.41543,0.50113
1.41629,0.50291
1.41715,0.50091
1.41801,0.50067
1.41887,0.5015
1.41973,0.50036
1.42059,0.50389
1.42144,0.49873
1.4223,0.50117
1.42316,0.49752
1.42402,0.50025
1.42488,0.49942
1.42574,0.49686
1.4266,0.49996
1.42745,0.49817
1.42831,0.49976
1.42917,0.49902
1.43003,0.49681
1.43089,0.49617
1.43175,0.49628
1.43261,0.49622
1.43346,0.49993
1.43432,0.49728
1.43518,0.49627
1.43604,0.49603
1.4369,0.4959
1.43776,0.49622
1.43862,0.49487
1.43947,0.49637
1.44033,0.49372
1.44119,0.49634
1.44205,0.4952
1.44291,0.49533
1.44377,0.49531
1.44463,0.49326
1.44548,0.49423
1.44634,0.49589
1.4472,0.49546
1.44806,0.49426
1.44892,0.49352
1.44978,0.49399
1.45064,0.4943
1.45149,0.49191
1.45235,0.49441
1.45321,0.4949
1.45407,0.49381
1.45493,0.48977
1.45579,0.49265
1.45665,0.49389
1.4575,0.49281
1.45836,0.49131
1.45922,0.49086
1.46008,0.48955
1.46094,0.49353
1.4618,0.49376
1.46266,0.49119
1.46351,0.49385
1.46437,0.49107
1.46523,0.48837
1.46609,0.49459
1.46695,0.48885
1.46781,0.48669
1.46867,0.49117
1.46952,0.4907
1.47038,0.48899
1.47124,0.49098
1.4721,0.48949
1.47296,0.48747
1.47382,0.48761
1.47468,0.49151
1.47553,0.48889
1.47639,0.48732
1.47725,0.48879
1.47811,0.48832
