realization,energy,pressure,acc_ratio
1,-206.935867,0.457008,0.620000
1,-202.638294,0.359710,0.610000
1,-206.280802,0.320504,0.640000
1,-209.258464,0.299879,0.590000
1,-209.045501,0.337095,0.670000
1,-210.358423,0.296847,0.570000
1,-212.218065,0.232900,0.510000
1,-204.974350,0.322339,0.590000
1,-185.778873,0.635110,0.640000
1,-196.134562,0.553480,0.630000
1,-210.349514,0.260998,0.560000
1,-198.234826,0.481669,0.670000
1,-211.167513,0.316601,0.620000
1,-209.218458,0.374047,0.630000
1,-201.950652,0.429495,0.460000
1,-205.465684,0.341240,0.630000
1,-200.146220,0.314970,0.590000
1,-199.710370,0.450539,0.600000
1,-200.779857,0.443051,0.530000
1,-194.436487,0.573225,0.660000
1,-202.871934,0.386147,0.570000
1,-195.943060,0.667444,0.560000
1,-177.329343,0.835038,0.570000
1,-181.125083,0.820311,0.530000
1,-199.379361,0.514376,0.600000
1,-203.022028,0.367243,0.660000
1,-193.450079,0.654942,0.660000
1,-190.669369,0.669545,0.610000
1,-191.515897,0.680502,0.540000
1,-187.398509,0.712805,0.570000
1,-191.555380,0.638989,0.640000
1,-195.730273,0.510258,0.610000
1,-195.044853,0.536381,0.530000
1,-181.174407,0.812099,0.660000
1,-183.702541,0.759205,0.590000
1,-191.373292,0.598298,0.620000
1,-196.784083,0.591463,0.560000
1,-201.049229,0.379402,0.630000
1,-199.129727,0.472036,0.630000
1,-195.756757,0.510534,0.630000
1,-192.507179,0.499467,0.530000
1,-199.804722,0.434044,0.610000
1,-197.458142,0.518504,0.510000
1,-202.593236,0.342816,0.660000
1,-198.129842,0.497659,0.570000
1,-192.580398,0.524439,0.620000
1,-193.200767,0.517163,0.550000
1,-201.385844,0.496991,0.580000
1,-204.089943,0.519264,0.600000
1,-199.191886,0.631389,0.620000
1,-196.389786,0.571770,0.580000
1,-197.431255,0.540772,0.580000
1,-195.029671,0.567476,0.530000
1,-196.570268,0.472536,0.600000
1,-205.252349,0.326435,0.540000
1,-202.157458,0.337906,0.620000
1,-194.152663,0.562763,0.610000
1,-193.393279,0.652248,0.560000
1,-215.220183,0.232765,0.650000
1,-203.583307,0.448309,0.610000
1,-202.743185,0.416661,0.650000
1,-196.327669,0.508243,0.560000
1,-193.900727,0.522343,0.560000
1,-195.536399,0.498121,0.670000
1,-196.667633,0.497954,0.580000
1,-208.334858,0.309893,0.620000
1,-203.731486,0.367836,0.580000
1,-207.197620,0.456739,0.640000
1,-195.670604,0.557375,0.580000
1,-191.898518,0.647383,0.600000
1,-190.161075,0.647811,0.670000
1,-197.013602,0.489389,0.640000
1,-199.176052,0.384259,0.700000
1,-197.583835,0.384716,0.660000
1,-192.352742,0.537331,0.590000
1,-195.036387,0.442645,0.590000
1,-199.945875,0.368494,0.580000
1,-193.547338,0.381675,0.590000
1,-199.208314,0.314253,0.600000
1,-190.806227,0.469588,0.700000
1,-176.966337,0.702752,0.660000
1,-190.563776,0.451673,0.590000
1,-194.208289,0.464080,0.630000
1,-192.871877,0.424503,0.620000
1,-200.706136,0.346114,0.640000
1,-209.295828,0.237231,0.640000
1,-205.350239,0.371020,0.640000
1,-195.439399,0.496697,0.550000
1,-197.547653,0.430129,0.640000
1,-194.157303,0.467919,0.660000
1,-194.527728,0.446445,0.660000
1,-193.598161,0.500644,0.540000
1,-196.300658,0.500802,0.580000
1,-192.730215,0.532556,0.610000
1,-184.255870,0.632917,0.580000
1,-187.016678,0.598172,0.570000
1,-185.296679,0.621227,0.690000
1,-183.464647,0.624627,0.670000
1,-178.295590,0.692996,0.640000
1,-186.208388,0.540041,0.610000
1,-187.416667,0.565929,0.630000
1,-193.484936,0.403490,0.650000
1,-191.384619,0.489743,0.610000
1,-192.499380,0.426287,0.650000
1,-193.587112,0.426890,0.650000
1,-203.073525,0.325996,0.680000
1,-203.500813,0.439988,0.680000
1,-204.572818,0.518382,0.560000
1,-194.912902,0.518700,0.570000
1,-192.172201,0.509823,0.640000
1,-194.234985,0.462817,0.600000
1,-200.005149,0.469326,0.630000
1,-208.743011,0.446807,0.660000
1,-206.872657,0.455620,0.550000
1,-204.568478,0.453161,0.620000
1,-198.044932,0.616766,0.570000
1,-196.514092,0.645423,0.660000
1,-201.288061,0.356956,0.630000
1,-196.635914,0.517442,0.640000
1,-194.590436,0.538352,0.610000
1,-195.933745,0.513396,0.640000
1,-197.634289,0.425090,0.620000
1,-200.712348,0.388958,0.630000
1,-192.731530,0.575172,0.570000
1,-189.356664,0.578754,0.620000
1,-175.063261,0.911639,0.530000
1,-184.686541,0.724422,0.630000
1,-200.118905,0.515128,0.560000
1,-183.464407,0.801051,0.580000
1,-187.361996,0.636950,0.540000
1,-186.726772,0.528523,0.570000
1,-193.486800,0.398884,0.650000
1,-200.362928,0.278604,0.650000
1,-189.659056,0.422340,0.630000
1,-181.986106,0.643259,0.550000
1,-178.180492,0.673295,0.630000
1,-182.308100,0.548228,0.580000
1,-185.460953,0.546492,0.650000
1,-191.196589,0.538193,0.620000
1,-182.633015,0.685188,0.500000
1,-191.481934,0.408254,0.660000
1,-182.663711,0.592071,0.590000
1,-192.707042,0.485272,0.630000
1,-195.039228,0.448134,0.620000
1,-204.870401,0.186159,0.560000
1,-206.856817,0.206109,0.680000
1,-200.616666,0.346776,0.620000
1,-196.596356,0.451898,0.480000
