n,crude,importance
580,0.0593999,0.0694176
580,0.126422,0.0772635
580,0.0573934,0.0123856
580,0.0537714,0.156507
580,0.130525,0.0372949
580,0.0723549,0.0326132
580,0.0290148,0.0567183
580,0.0728581,0.0674832
580,0.123114,0.0222329
580,0.00380682,0.00558989
580,0.115894,0.0274886
580,0.0188753,0.0149238
580,0.216951,0.0538261
580,0.127307,0.0486323
580,0.0465222,0.0665234
580,0.00830548,0.000436133
580,0.10955,0.0025765
580,0.150767,0.0254298
580,0.109701,0.0215114
580,0.0105484,0.0170696
580,0.0307949,0.0639415
580,0.149623,0.0274044
580,0.0857948,0.0203591
580,0.0698944,0.0203785
580,0.0960798,0.0605161
580,0.136768,0.0886761
580,0.224665,0.0389771
580,0.114872,0.0414488
580,0.0242589,0.0748017
580,0.328968,0.112343
580,0.109012,0.0386397
580,0.0796173,0.0390579
580,0.292209,0.0722568
580,0.0193568,0.0840312
580,0.0201091,0.0575473
580,0.0496156,0.0402039
580,0.0379187,0.00112056
580,0.250146,0.0354218
580,0.18308,0.0382101
580,0.0569506,0.0304225
580,0.1176,0.0432862
580,0.0827986,0.020186
580,0.0472312,0.0276524
580,0.0912314,0.0039266
580,0.0207404,0.0101257
580,0.0472915,0.0118164
580,0.117775,0.11449
580,0.0438251,0.0278518
580,0.0446734,0.0170825
580,0.0659735,0.0199482
580,0.105873,0.0121201
580,0.0696436,0.0320708
580,0.14056,0.0884536
580,0.191807,0.0362693
580,0.0355734,0.045137
580,0.0918799,0.00461718
580,0.0792354,0.00595719
580,0.13548,0.016713
580,0.0893072,0.0119147
580,0.115778,0.0150616
580,0.207763,0.0435047
580,0.190022,0.00381192
580,0.00263122,0.00486613
580,0.0905799,0.101235
580,0.0634123,0.0442391
580,0.091898,0.00163718
580,0.179745,0.0190402
580,0.13579,0.0111508
580,0.117856,0.0288896
580,0.0368369,0.0470535
580,0.0338671,0.0295729
580,0.0245349,0.0950336
580,0.130099,0.000167068
580,0.146429,0.0823906
580,0.0667747,0.0437685
580,0.15959,0.0281755
580,0.186373,0.121083
580,0.0323586,0.0946352
580,0.0717213,0.00864729
580,0.077452,0.0135716
580,0.117791,0.0600712
580,0.129227,0.0289487
580,0.185245,0.0705395
580,0.0375299,0.00631285
580,0.0597456,0.032815
580,0.055592,0.000948446
580,0.0900118,0.036897
580,0.0609949,0.0458969
580,0.0215237,0.0571946
580,0.0428808,0.151101
580,0.0874029,0.0544536
580,0.0519156,0.0194267
580,0.0384574,0.0484071
580,0.0264466,0.0562489
580,0.0032663,0.120296
580,0.173885,0.0931905
580,0.141906,0.0204663
580,0.0823032,0.0333731
580,0.0710625,0.02186
580,0.0693391,0.0372861
580,0.0200159,0.058664
580,0.0122065,0.105158
580,0.0318378,0.0261591
580,0.0176306,0.0209372
580,0.160813,0.00407281
580,0.0538105,0.10288
580,0.019757,0.0407407
580,0.0483462,0.0329419
580,0.163185,0.0894046
580,0.0575029,0.0859714
580,0.0613463,0.0918208
580,0.0978938,0.0773111
580,0.0139462,0.0394212
580,0.122885,0.0665967
580,0.104059,0.0521083
580,0.0506987,0.125607
580,0.0772347,0.0167559
580,0.0302421,0.0958874
580,0.0482361,0.0166419
580,0.0434325,0.0588732
580,0.0626726,0.0691497
580,0.110685,0.0262895
580,0.0229586,0.0519442
580,0.098015,0.0411322
580,0.259075,0.0585739
580,0.0921146,0.00580378
580,0.0918009,0.0170066
580,0.113167,0.142846
580,0.0473821,0.0302627
580,0.0596092,0.00431445
580,0.136732,0.0711943
580,0.182815,0.0175669
580,0.0617968,0.00684325
580,0.1477,0.0209291
580,0.0663726,0.0285331
580,0.137912,0.0808791
580,0.01225,0.0798886
580,0.147726,0.0120012
580,0.064432,0.00673205
580,0.0327253,0.0111568
580,0.0601354,0.0127044
580,0.0701347,0.0104881
580,0.17053,0.0161715
580,0.0925341,0.0134981
580,0.239273,0.0533835
580,0.148415,0.0984295
580,0.0898466,0.00704746
580,0.0357269,0.0688908
580,0.177353,0.0125614
580,0.0947322,0.0660682
580,0.156226,0.0338951
580,0.11657,0.00553658
580,0.133418,0.142538
580,0.0692877,0.0345578
580,0.109215,0.0555531
580,0.00870397,0.0638406
580,0.00122161,0.105717
580,0.0800109,0.0671574
580,0.0265148,0.0285012
580,0.0933544,0.0711323
580,0.0331026,0.0249491
580,0.039231,0.0661081
580,0.152918,0.102203
580,0.0312558,0.00249197
580,0.0383906,0.0407417
580,0.0957694,0.0194688
580,0.0801874,0.0854308
580,0.0996394,0.0737881
580,0.0565182,0.0566695
580,0.079679,0.0302966
580,0.098344,0.0585557
580,0.110598,0.0527811
580,0.0852398,0.0345063
580,0.105307,0.00989834
580,0.0449674,0.0049869
580,0.00381695,0.00615282
580,0.0154201,0.00937942
580,0.0327515,0.106513
580,0.0936919,0.0565802
580,0.193097,0.0269488
580,0.115783,0.00754274
580,0.0875457,0.0428601
580,0.0313526,0.0255271
580,0.0771039,0.0204896
580,0.058313,0.050759
580,0.0720817,0.0219501
580,0.20201,0.0259695
580,0.00382185,0.0674851
580,0.0531257,0.0574864
580,0.0820682,0.00501574
580,0.00278822,0.0173252
580,0.00579016,0.0333469
580,0.0860599,0.0569695
580,0.109614,0.0457033
580,0.094974,0.00966818
580,0.090359,0.033713
580,0.00865556,0.165369
580,0.0550003,0.0551013
580,0.0595542,0.116476
580,0.0585406,0.00339361
580,0.0559355,0.127196
580,0.0722993,0.014397
580,0.0583193,0.0456999
580,0.123793,0.0137228
580,0.0931311,0.0924097
580,0.153565,0.00543137
580,0.0422,0.0313411
580,0.0261873,0.066421
580,0.0631817,0.0539007
580,0.0987554,0.032701
580,0.0337336,0.0815512
580,0.0966009,0.0214004
580,0.0457269,0.107441
580,0.0379314,0.0127081
580,0.102906,0.00976792
580,0.150026,0.0100659
580,0.0437811,0.00767506
580,0.195108,0.0913018
580,0.0109535,0.0500463
580,0.0537315,0.0120859
580,0.102627,0.0252065
580,0.0410926,0.0175918
580,0.211475,0.0265441
580,0.0139675,0.0460069
580,0.113931,0.105974
580,0.0162958,0.0653874
580,0.0565453,0.00108068
580,0.0890034,0.0698157
580,0.0581279,0.106729
580,0.0769835,0.104227
580,0.0421202,0.048432
580,0.08972,0.0385324
580,0.0913224,0.0691148
580,0.00136665,0.0161861
580,0.131299,0.0771644
580,0.0717422,0.0586517
580,0.0918085,0.00918811
580,0.245885,0.127997
580,0.060384,0.0070068
580,0.162408,0.101998
580,0.140626,0.0452175
580,0.123773,0.00833115
580,0.0158784,0.0483804
580,0.103752,0.0462902
580,0.0373433,0.0664846
580,0.0109864,0.0431674
580,0.0367455,0.0874831
580,0.250372,0.0842326
580,0.0470069,0.00636828
580,0.223,0.00808187
580,0.00893172,0.112163
580,0.185521,0.0168012
580,0.126946,0.0507152
580,0.0294953,0.0196077
580,0.133453,0.00553323
580,0.0808796,0.010144
580,0.0183233,0.03473
580,0.101048,0.101544
580,0.118795,0.0179678
580,0.168796,0.0674874
580,0.0731601,0.0230237
580,0.233492,0.0689292
580,0.0724099,0.0297377
580,0.035719,0.0431743
580,0.0262402,0.0250713
580,0.164114,0.085897
580,0.102563,0.00810521
580,0.00434965,0.113482
580,0.0786846,0.0528987
580,0.160448,0.0494902
580,0.144853,0.0398805
580,0.148469,0.00787943
580,0.00517285,0.0408833
580,0.0965963,0.0302781
580,0.0312023,0.0916785
580,0.0813475,0.0962754
580,0.153654,0.0727858
580,0.0356903,0.00550199
580,0.0215277,0.0465787
580,0.099181,0.0920255
580,0.029398,0.040547
580,0.0656751,0.0185629
580,0.229535,0.0492846
580,0.0244401,0.0234177
580,0.169671,0.048225
580,0.0660673,0.153361
580,0.0634881,0.0202977
580,0.0172037,0.105588
580,0.00721069,0.0554402
580,0.0410946,0.00544004
580,0.0559531,0.023689
580,0.0522949,0.056945
580,0.0168663,0.0324131
580,0.0132262,0.0112303
580,0.105372,0.0364535
580,0.173718,0.0670726
580,0.157827,0.0496725
580,0.0477323,0.0561632
580,0.0657876,0.0380227
580,0.189468,0.0393048
580,0.227003,0.0813701
580,0.138841,0.0203305
580,0.00572318,0.0811509
580,0.207802,0.0805598
580,0.0235521,0.0513801
580,0.0426199,0.0420751
580,0.176192,0.0108391
580,0.232702,0.0757748
580,0.116655,0.0142354
580,0.0342512,7.65489e-05
580,0.017565,0.00638903
580,0.0483844,0.00597051
580,0.0320395,0.0454003
580,0.004979,0.0272211
580,0.0293272,0.0310799
660,0.162597,0.156241
660,0.0627819,0.0150504
660,0.218542,0.038986
660,0.157333,0.0322343
660,0.00517511,0.0155783
660,0.0196918,0.0320133
660,0.0449508,0.0168108
660,0.116343,0.111239
660,0.170133,0.0551481
660,0.227331,0.00920453
660,0.0127681,0.0641564
660,0.0142191,0.0558534
660,0.151118,0.0156449
660,0.109313,0.0221122
660,0.101631,0.0369015
660,0.0165776,0.0710199
660,0.0618382,0.0266884
660,0.0179821,0.0169611
660,0.219312,0.0284583
660,0.129004,0.0320094
660,0.0321491,0.0930351
660,0.0478219,0.0488926
660,0.0687087,0.0689241
660,0.0902182,0.109124
660,0.0582964,0.0593917
660,0.015702,0.00227725
660,0.144046,0.0314639
660,0.0872707,0.077947
660,0.0927287,0.0186706
660,0.0344019,0.035906
660,0.0145341,0.00388617
660,0.162219,0.0242636
660,0.20175,0.0913939
660,0.138347,0.0960033
660,0.183196,0.0790043
660,0.0874982,0.100786
660,0.11912,0.0650204
660,0.0614302,0.0605555
660,0.177366,0.0143562
660,0.0968162,0.0258391
660,0.0873069,0.0594978
