n,integral
10,1.003980
10,0.998758
10,1.013776
10,1.002350
10,1.000025
10,0.995903
10,0.980747
10,1.010275
10,0.973316
10,0.989962
10,0.993561
10,1.000058
10,0.977544
10,1.008419
10,0.979342
10,0.993281
10,0.954310
10,0.965840
10,0.981988
10,0.977533
10,0.987203
10,0.954929
10,1.008420
10,0.990003
10,1.010809
10,1.000190
10,1.003439
10,0.997536
10,1.011944
10,1.015416
10,0.967992
10,0.996224
10,0.988966
10,0.992894
10,0.992998
10,0.991059
10,0.995958
10,1.010241
10,1.024925
10,0.976543
10,1.012172
10,1.021118
10,1.022594
10,1.009413
10,1.005087
10,0.995562
10,0.964848
10,1.002170
10,1.011869
10,0.996525
10,0.995679
10,0.973386
10,0.989147
10,1.024666
10,0.995138
10,1.006810
10,1.002975
10,0.999125
10,0.995877
10,0.991756
10,1.019584
10,1.000455
10,1.006260
10,0.986929
10,0.990868
10,0.996284
10,0.998448
10,1.019753
10,1.017255
10,1.016381
10,1.008292
10,1.000259
10,0.976662
10,0.988500
10,1.024199
10,1.006479
10,1.023037
10,1.003352
10,1.022421
10,0.988241
10,1.024624
10,1.004609
10,1.005712
10,1.010961
10,1.005695
10,0.951164
10,1.006858
10,0.993830
10,0.990573
10,1.023970
10,0.977877
10,1.028237
10,0.985004
10,0.989185
10,0.983256
10,0.994463
10,0.999988
10,0.978881
10,0.995086
10,0.998998
10,0.993438
10,1.012426
10,1.022956
10,0.991507
10,0.995576
10,0.996707
10,0.998774
10,0.993912
10,0.986296
10,0.992534
10,1.016202
10,1.015360
10,0.994255
10,1.012333
10,1.011337
10,0.975845
10,1.002539
10,0.999367
10,0.999214
10,1.004588
10,1.010327
10,0.997570
10,1.001400
10,1.004786
10,1.013672
10,0.988376
10,1.002109
10,1.000495
10,1.012036
10,1.021149
10,1.021064
10,1.006015
10,0.979990
10,0.948897
10,0.994363
10,1.002914
10,1.002354
10,1.028346
10,1.011807
10,1.011554
10,1.016637
10,1.002472
10,0.995519
10,0.971415
10,0.997843
10,0.997328
10,1.019650
10,1.018252
10,1.019977
10,1.002647
10,0.971743
10,0.994548
10,0.981434
10,0.948519
10,0.999214
10,0.998871
10,0.955474
10,1.002488
10,1.007793
10,0.981084
10,0.996842
10,0.998747
10,1.018517
10,0.998403
10,1.010864
10,1.003864
10,0.993149
10,1.008670
10,1.008416
10,1.003895
10,0.999415
10,1.019858
10,1.012581
10,0.996160
10,0.963838
10,1.011921
10,1.021632
10,0.991814
10,0.998143
10,0.996151
10,0.957514
10,0.996475
10,0.999018
10,0.971675
10,0.966786
10,1.009940
10,1.020513
10,1.008718
10,0.982237
10,1.010399
10,1.002683
10,0.999085
10,0.986995
10,0.996625
10,1.010369
10,1.014957
10,1.007584
10,1.011532
10,1.012635
10,1.003156
10,0.987957
10,1.001250
10,1.005862
10,0.997573
10,1.012479
10,0.981227
10,1.031257
10,0.985355
10,0.996941
10,0.984409
10,0.995797
10,1.008904
10,1.006568
10,0.987914
10,0.998458
10,1.010291
10,1.009676
10,0.997949
10,0.996359
10,1.006403
10,0.983485
10,1.011468
10,1.025814
10,0.998411
10,1.011973
10,0.994786
10,0.991208
10,1.026470
10,0.993315
10,1.007556
10,0.964433
10,1.018486
10,1.011160
10,1.009351
10,0.980817
10,0.998301
10,1.001355
10,1.015441
10,1.004172
10,0.964784
10,0.994736
10,1.017545
10,0.992789
10,1.003928
10,0.996005
10,0.976484
10,1.008420
10,0.969990
10,0.959489
10,0.989220
10,0.985167
10,0.985069
10,0.986783
10,0.999071
10,1.005074
10,1.008552
10,1.000916
10,0.979592
10,1.009658
10,1.026863
10,1.000739
10,0.969394
10,0.980785
10,0.996782
10,0.999968
10,0.984099
10,0.978565
10,1.010467
10,0.974936
10,0.955865
10,0.995497
10,1.004564
10,1.016143
10,0.977248
10,1.000914
10,0.990501
10,1.030361
10,1.020511
10,0.985137
10,0.993186
10,0.999773
10,1.006881
10,1.029063
10,1.002063
10,1.004681
10,1.007562
10,0.979997
10,1.016128
10,1.022070
10,1.026843
10,1.011979
10,1.001898
10,1.006648
10,0.978710
10,0.983348
10,1.019570
10,0.978410
10,0.994849
10,0.994207
10,0.994022
10,0.979846
10,1.003547
10,1.017935
10,1.004238
10,1.006208
10,0.977757
10,0.976943
10,0.971924
10,0.992875
10,1.012835
10,1.023218
10,0.994525
10,0.989190
10,0.980911
10,0.983957
10,1.015852
10,1.013366
10,1.019285
10,0.986380
10,1.004628
10,0.993550
10,0.984055
10,0.972780
10,1.022811
10,1.000255
10,0.997783
10,0.997445
10,0.974249
10,0.999339
10,1.004544
10,1.017104
10,0.992403
10,1.014434
10,1.022285
10,1.007478
10,1.006415
10,1.005792
10,1.024467
10,1.002781
10,1.006072
10,0.990610
10,1.014657
10,1.013882
10,0.964815
10,1.009319
10,1.019474
10,0.996388
10,0.983896
10,0.992702
10,0.996888
10,0.962992
10,0.997586
10,0.993642
10,0.976577
20,0.984862
20,1.006116
20,0.985166
20,1.002187
20,0.985959
20,1.000704
20,1.010432
20,0.987749
20,0.992064
20,0.987309
20,0.979845
20,0.988861
20,1.020270
20,1.005068
20,0.999360
20,1.001552
20,0.994186
20,0.985915
20,1.017459
20,1.001806
20,1.015211
20,0.990018
20,1.005984
20,0.995813
20,1.000959
20,0.999142
20,0.995698
20,1.007276
20,1.013275
20,1.003620
20,1.009663
20,1.007098
20,1.000870
20,1.001153
20,1.006752
20,1.013867
20,1.016191
20,0.982054
20,1.001857
20,0.993420
20,1.013520
20,0.997452
20,1.002261
20,1.005977
20,1.000563
20,0.984481
20,0.992455
20,1.005478
20,1.021610
20,0.962823
20,0.985308
20,1.009445
20,1.003714
20,1.012295
20,0.979715
20,1.005800
20,1.001883
20,1.013190
20,0.972687
20,1.003233
20,1.009100
20,1.014166
20,1.012109
20,1.011303
20,1.000402
20,0.983846
20,1.021043
20,0.997764
20,0.988277
20,0.994178
20,0.976921
20,1.008094
20,1.012097
20,1.004925
20,1.010271
20,1.007224
20,0.982371
20,1.018452
20,1.005984
20,1.013593
20,1.012263
20,0.993881
20,1.000326
20,0.995913
20,1.013285
20,1.000445
20,0.991742
20,0.995836
20,0.973182
20,1.001175
20,0.998668
20,1.016557
20,0.987752
20,1.002494
20,0.987575
20,1.016378
20,0.994726
20,0.991791
20,0.988846
20,1.021832
20,0.988488
20,0.999583
20,0.976346
20,0.981292
20,1.011789
20,1.003640
20,1.005331
20,1.005077
20,1.002651
20,0.996982
20,0.991087
20,1.009952
20,0.994834
20,0.982582
20,0.998862
20,1.004718
20,0.993031
20,0.981844
20,1.002242
20,1.010948
20,0.986897
20,1.014593
20,0.994345
20,0.984218
20,1.003919
20,0.990341
20,0.987959
20,1.005870
20,0.973236
20,0.996284
20,1.004754
20,0.986592
20,0.989639
20,1.019108
20,1.000717
20,1.016609
20,0.990971
20,1.003829
20,0.998763
20,0.979742
20,0.988857
20,0.995450
20,1.001651
20,1.001921
20,1.005182
20,1.005774
20,0.990380
20,0.977776
20,0.987147
20,0.995933
20,0.992995
20,0.988667
20,1.013238
20,1.005105
20,0.975802
20,0.986706
20,1.010541
20,0.996498
20,0.997940
20,1.010244
20,1.003672
20,1.004761
20,1.010848
20,0.993032
20,0.999906
20,0.998058
20,0.999964
20,0.990244
20,0.986688
20,1.000281
20,0.985789
20,1.009756
20,0.989756
20,1.008327
20,1.003286
20,1.012055
20,1.005251
20,1.001600
20,0.996477
20,1.013663
20,0.989986
20,0.984115
20,0.979796
20,1.018130
20,0.992398
20,1.011799
20,1.007848
20,0.982832
20,0.994024
20,0.998097
20,1.004442
20,0.990042
20,1.000254
20,0.997748
20,0.989754
20,0.996561
20,1.004781
20,1.009707
20,1.014208
20,0.998835
20,1.007706
20,1.005419
