throws,error
2200,0.00363636
2200,0.0290909
2200,0.0327273
2200,0.0309091
2300,0.0434783
2300,0.013913
2300,0.0608696
2300,0.0208696
2300,0.00695652
2300,0.104348
2300,0.0104348
2300,0.0121739
2300,0.0121739
2300,0.0295652
2400,0.0633333
2400,0.0683333
2400,0.025
2400,0.0266667
2400,0.0583333
2400,0.055
2400,0.065
2400,0.0283333
2400,0.00166667
2400,0.0183333
2500,0.0032
2500,0.0016
2500,0.0272
2500,0.024
2500,0.0112
2500,0.0144
2500,0.0112
2500,0.0224
2500,0.0448
2500,0.0688
2600,0.0276923
2600,0.0215385
2600,0.00769231
2600,0.0892308
2600,0.0215385
2600,0.06
2600,0.0169231
2600,0.0384615
2600,0.0369231
2600,0.02
2700,0.0133333
2700,0.0177778
2700,0
2700,0.0133333
2700,0.0237037
2700,0.0103704
2700,0.00592593
2700,0.00888889
2700,0.0207407
2700,0.0459259
2800,0.0185714
2800,0.00857143
2800,0.06
2800,0.00285714
2800,0.00142857
2800,0.0514286
2800,0.0114286
2800,0.0542857
2800,0.00714286
2800,0.0185714
2900,0.00137931
2900,0.0331034
2900,0.0331034
2900,0.0165517
2900,0.0151724
2900,0.0151724
2900,0.08
2900,0.0303448
2900,0.0372414
2900,0.00551724
3000,0.0653333
3000,0.0186667
3000,0.00666667
3000,0.0133333
3000,0.0346667
3000,0.0266667
3000,0.00133333
3000,0.0213333
3000,0.0226667
3000,0.0106667
3100,0.00903226
3100,0.0219355
3100,0.0193548
3100,0.0645161
3100,0.0425806
3100,0.0129032
3100,0.0180645
3100,0.0670968
3100,0.00129032
3100,0.0245161
3200,0.0225
3200,0.04125
3200,0.0275
3200,0.02
3200,0.0175
3200,0.01
3200,0.01625
3200,0.00625
3200,0.065
3200,0.0575
3300,0.0145455
3300,0.0133333
3300,0.0351515
3300,0.0206061
3300,0.00606061
3300,0.049697
3300,0.00969697
3300,0.00363636
3300,0.00969697
3300,0.0218182
3400,0.00117647
3400,0.0176471
3400,0.0447059
3400,0.00470588
3400,0.00941176
3400,0.0329412
3400,0.0611765
3400,0.0235294
3400,0.0176471
3400,0.0176471
3500,0.0468571
3500,0.00228571
3500,0.0297143
3500,0.0297143
3500,0.00457143
3500,0
3500,0
3500,0.00914286
3500,0.0331429
3500,0.0114286
3600,0.00555556
3600,0.02
3600,0.01
3600,0.0211111
3600,0.0244444
3600,0.00111111
3600,0.0211111
3600,0.00888889
3600,0.0222222
3600,0.00333333
3700,0.0237838
3700,0.00324324
3700,0.0281081
3700,0.0162162
3700,0.012973
3700,0.0205405
3700,0.00756757
3700,0.0356757
3700,0.00540541
3700,0.0248649
3800,0.0210526
3800,0.0105263
3800,0.00526316
3800,0.0210526
3800,0.0873684
3800,0.0136842
3800,0.0305263
3800,0.0336842
3800,0.0452632
3800,0.0536842
3900,0.0205128
3900,0.00923077
3900,0.00512821
3900,0.0717949
3900,0.0194872
3900,0.0266667
3900,0.0328205
3900,0.0133333
3900,0.0246154
3900,0.0123077
4000,0.013
4000,0.032
4000,0.006
4000,0.02
4000,0.007
4000,0.034
4000,0.011
4000,0.056
4000,0.024
4000,0.014
4100,0.00682927
4100,0.00878049
4100,0.0214634
4100,0.04
4100,0.04
4100,0.04
4100,0.0126829
4100,0.035122
4100,0.0204878
4100,0.0526829
4200,0.0266667
4200,0.0161905
4200,0.0047619
4200,0.0457143
4200,0.02
4200,0.0142857
4200,0.0495238
4200,0.0390476
4200,0.0180952
4200,0.00190476
4300,0.0176744
4300,0.0223256
4300,0.00930233
4300,0.0455814
4300,0.0186047
4300,0.0195349
4300,0.0325581
4300,0.04
4300,0.0223256
4300,0.0111628
4400,0.0418182
4400,0.0154545
4400,0.0509091
4400,0.00727273
4400,0.00181818
4400,0.0654545
4400,0.00545455
4400,0.0109091
4400,0.0309091
4400,0.00818182
4500,0.0248889
4500,0.00177778
4500,0.0435556
4500,0.00622222
4500,0.0337778
4500,0.0222222
4500,0.032
4500,0.008
4500,0.00977778
4500,0.00711111
4600,0.00956522
4600,0.0408696
4600,0.0191304
4600,0.0104348
4600,0.00956522
4600,0.00521739
4600,0.0156522
4600,0.00869565
4600,0.0304348
4600,0.0278261
4700,0.00510638
