throws,error
1800,0.0217276
1800,0.0111173
1800,0.00475109
1900,0.00853974
1900,0.00218227
1900,0.00250861
1900,0.00687316
1900,0.0155848
1900,0.00955366
1900,0.00620303
1900,0.0118904
1900,0.015241
1900,0.00317874
2000,0.00394938
2000,0.0189689
2000,0.0113295
2000,0.0106929
2000,0.0306874
2000,0.00878301
2000,0.0103156
2000,0.00369006
2000,0.000506957
2000,0.00878301
2100,0.000203805
2100,0.00505424
2100,0.0198042
2100,0.00384163
2100,0.000203805
2100,0.0183929
2100,0.00222141
2100,0.016574
2100,0.00323533
2100,0.00687316
2200,0.00470175
2200,0.0190268
2200,0.0132394
2200,0.0219205
2200,0.0126606
2200,0.00470175
2200,0.00991046
2200,0.00296551
2200,0.000650533
2200,0.00238677
2300,0.00807357
2300,0.0136094
2300,0.00530566
2300,0.00862715
2300,0.0191452
2300,0.00908748
2300,0.0140697
2300,0.00475208
2300,0.00364491
2300,0.019052
2400,0.00687316
2400,0.00426769
2400,0.029202
2400,0.00267614
2400,0.0143004
2400,0.00373717
2400,0.0217747
2400,0.00904234
2400,0.0116949
2400,0.00422057
2500,0.00381738
2500,0.0109475
2500,0.00687316
2500,0.0129847
2500,0.0129847
2500,0.00279879
2500,0.00280347
2500,0.014008
2500,0.00789642
2500,0.0190963
2600,0.0034452
2600,0.00932169
2600,0.0107908
2600,0.0117357
2600,0.000996665
2600,0.0151982
2600,0.0190813
2600,0.00491433
2600,0.0107563
2600,0.00585924
2700,0.0138759
2700,0.0181201
2700,0.0204779
2700,0.0115181
2700,0.00916023
2700,0.000671968
2700,0.00310059
2700,0.000271172
2700,0.0162338
2700,0.00868866
2800,0.00858761
2800,0.00232587
2800,0.0140444
2800,0.00505424
2800,0.00540451
2800,0.0159677
2800,0.0099518
2800,0.00323533
2800,0.00505424
2800,0.00904234
2900,0.0182884
2900,0.00234686
2900,0.0200446
2900,0.00585924
2900,0.0117027
2900,0.00805448
2900,0.00467791
2900,0.022104
2900,0.00981067
2900,0.00717638
3000,0.00967896
3000,0.0126499
3000,0.00925455
3000,0.00501041
3000,0.00984405
3000,0.00644874
3000,0.0140882
3000,0.000931371
3000,0.0153614
3000,0.0109522
3100,0.00257346
3100,0.00216274
3100,0.00750213
3100,0.00750213
3100,0.00626996
3100,0.0173595
3100,0.000930571
3100,0.0218774
3100,0.000301596
3100,0.0118018
3200,0.00546135
3200,0.00824656
3200,0.00249639
3200,0.0188098
3200,0.00567949
3200,0.00983811
3200,0.00528161
3200,0.0100563
3200,0.0132394
3200,0.0193874
3300,0.00200094
3300,0.00238677
3300,0.00532983
3300,0.00122928
3300,0.0139617
3300,0.00687316
3300,0.004944
3300,0.00354426
3300,0.000699872
3300,0.0107315
3400,0.00200489
3400,0.00735717
3400,0.000132475
3400,0.0038773
3400,0.00323786
3400,0.00398683
3400,0.000242007
3400,0.00088144
3400,0.00537523
3400,0.0109925
3500,0.0108748
3500,0.00331276
3500,0.0105884
3500,0.00941963
3500,0.00440411
3500,0.00614559
3500,0.00404033
3500,0.00149385
3500,0.00832829
3500,0.0196056
3600,0.0033835
3600,0.00581212
3600,0.00510477
3600,0.00262902
3600,0.00864154
3600,0.00333638
3600,0.0065666
3600,0.00545844
3600,0.000200398
3600,0.00510477
3700,0.00790551
3700,0.0127232
3700,0.0199681
3700,0.00930043
3700,0.005171
3700,0.00377609
3700,0.0113467
3700,0.00482688
3700,0.00998867
3700,0.00652904
3800,0.000506957
3800,0.00251734
3800,0.00452771
3800,0.0028524
3800,0.00518911
3800,0.00451899
3800,0.00451899
3800,0.00451899
3800,0.015241
3800,0.0118904
3900,0.00912396
3900,0.00259452
3900,0.00850551
3900,0.0130416
3900,0.000635693
3900,0.0114093
3900,0.00618571
3900,0.0196056
3900,0.00879749
3900,0.00164961
4000,0.0116478
4000,0.00936065
4000,0.00719146
4000,0.00394938
4000,0.00464499
4000,0.00426769
4000,0.00687316
4000,0.00108459
4000,0.004586
4000,0.00681417
4100,0.0049276
4100,0.0049276
4100,0.00159387
4100,0.0149474
4100,0.00842589
4100,0.00438879
4100,0.00283605
4100,0.000269408
4100,0.00407824
4100,0.00159387
4200,0.00222141
4200,0.00767815
4200,0.00626685
4200,0.0111173
4200,0.00990468
