time,X,Y
9.843914,63,534
9.844249,64,534
9.845140,63,535
9.846415,64,535
9.847826,65,534
9.852976,66,534
9.853642,67,533
9.854679,66,533
9.855061,65,534
9.855810,66,533
9.858243,67,532
9.860195,66,533
9.863159,67,532
9.864987,66,533
9.865104,65,534
9.867113,66,533
9.868293,65,534
9.868980,64,535
9.869721,65,534
9.870082,64,535
9.870559,65,535
9.870857,64,536
9.871580,65,536
9.872402,64,537
9.872616,65,536
9.873576,64,537
9.874127,63,538
9.875362,64,537
9.876406,63,537
9.878429,64,536
9.878537,63,536
9.878969,64,535
9.880129,65,534
9.880708,64,535
9.881216,63,536
9.882088,62,537
9.882605,63,536
9.883105,62,537
9.886420,61,537
9.887962,60,538
9.889074,59,539
9.891102,60,538
9.892960,59,539
9.895022,60,539
9.896322,61,539
9.897557,62,539
9.898247,61,540
9.899276,60,541
9.900100,59,542
9.902679,60,541
9.905396,59,542
9.905730,58,543
9.905938,59,542
9.906181,58,543
9.907808,59,543
9.910171,60,542
9.910271,59,543
9.911410,60,542
9.912064,59,543
9.912780,60,542
9.913347,61,541
9.913726,62,541
9.914073,61,542
9.914259,62,542
9.917629,63,542
9.918337,62,543
9.918467,63,542
9.923049,64,541
9.923778,65,541
9.926079,66,540
9.926171,65,541
9.930978,66,541
9.931867,67,540
9.933352,66,541
9.935571,67,541
9.937070,68,540
9.937225,67,541
9.938955,66,542
9.939375,67,542
9.940087,68,541
9.942147,69,541
9.943783,70,540
9.944524,69,541
9.946290,70,540
9.948810,71,540
9.949070,70,540
9.949710,71,539
9.951692,70,539
9.951907,69,540
9.952727,68,541
9.952987,69,540
9.953019,68,540
9.954343,69,540
9.954935,68,541
9.957232,67,542
9.958426,66,543
9.958804,65,543
9.961585,64,544
9.962396,65,543
9.966090,66,542
9.966917,67,541
9.967516,68,541
9.971671,67,542
9.973750,66,543
9.974769,67,542
9.975467,66,542
9.975625,67,541
9.975960,68,541
9.976154,69,541
9.976573,70,540
9.977779,71,539
9.978455,72,538
9.980057,73,537
9.980571,74,536
9.981906,73,537
9.983908,72,537
9.984018,73,537
9.985892,72,538
9.986488,73,538
9.987038,74,537
9.987081,75,537
9.987994,76,537
9.989795,75,538
9.993039,74,539
9.997174,73,540
9.997193,74,539
9.999103,73,540
10.001470,74,539
10.002021,73,540
10.003853,72,541
10.006030,71,542
10.006407,70,543
10.008033,69,544
10.008433,68,545
10.010290,69,544
10.010537,70,543
10.011155,71,543
10.011907,72,542
10.014205,71,543
10.014524,72,543
10.014850,71,544
10.016525,70,544
10.018325,71,543
10.018438,70,544
10.019597,71,543
10.020095,70,544
10.021406,71,543
10.021707,72,542
10.021821,73,542
10.021844,74,541
10.022334,73,542
10.022446,74,541
10.025239,73,542
10.025800,72,543
10.027046,73,542
10.028486,74,541
10.030187,75,540
10.030276,76,539
10.031115,77,538
10.031569,76,539
10.032787,77,539
10.033358,78,538
10.033551,79,537
10.034023,80,537
10.036037,81,537
10.038348,80,537
10.040052,81,536
10.041172,82,535
10.043374,83,534
10.043569,82,535
10.044546,83,534
10.046651,82,534
10.052249,83,533
10.052924,82,533
10.054561,83,532
10.055770,84,531
10.055865,85,530
10.056604,84,531
10.057697,83,531
10.058565,82,532
10.058569,81,533
10.059467,80,534
10.059543,79,535
10.059984,80,534
10.062481,79,535
10.063133,78,536
10.063540,77,537
10.063611,78,537
10.065122,79,537
10.065564,80,536
10.066963,79,537
10.068956,80,537
10.069204,79,538
10.071720,80,537
10.072763,81,536
10.073020,80,537
10.073600,79,538
10.073761,80,537
10.075496,79,537
10.077152,80,536
10.077801,79,537
10.078573,80,537
10.079205,81,537
10.081170,80,538
10.085534,79,539
10.085666,80,538
10.086172,81,537
10.086335,80,538
10.088834,81,537
10.089288,82,536
10.089978,83,536
10.090964,84,535
10.091091,85,535
10.091140,86,534
10.091540,87,534
10.092259,88,534
10.093007,89,533
10.093502,88,534
10.094135,87,535
10.094540,86,536
10.095017,87,536
10.095469,88,535
10.098021,87,536
10.098221,86,537
10.098653,85,537
10.099335,84,538
10.101734,85,537
