time,x1,p1,x2,p2
0.247000,0.969770,-0.244526,0.969528,-0.244496
0.248000,0.969526,-0.245496,0.969283,-0.245466
0.249000,0.969280,-0.246466,0.969036,-0.246435
0.250000,0.969034,-0.247435,0.968789,-0.247404
0.251000,0.968786,-0.248404,0.968540,-0.248373
0.252000,0.968538,-0.249373,0.968291,-0.249341
0.253000,0.968288,-0.250341,0.968041,-0.250310
0.254000,0.968038,-0.251309,0.967789,-0.251278
0.255000,0.967787,-0.252277,0.967537,-0.252245
0.256000,0.967534,-0.253245,0.967284,-0.253213
0.257000,0.967281,-0.254213,0.967030,-0.254180
0.258000,0.967027,-0.255180,0.966775,-0.255147
0.259000,0.966772,-0.256147,0.966519,-0.256114
0.260000,0.966516,-0.257114,0.966261,-0.257081
0.261000,0.966259,-0.258080,0.966003,-0.258047
0.262000,0.966000,-0.259047,0.965744,-0.259013
0.263000,0.965741,-0.260013,0.965484,-0.259979
0.264000,0.965481,-0.260978,0.965223,-0.260944
0.265000,0.965220,-0.261944,0.964962,-0.261909
0.266000,0.964958,-0.262909,0.964699,-0.262874
0.267000,0.964696,-0.263874,0.964435,-0.263839
0.268000,0.964432,-0.264839,0.964170,-0.264803
0.269000,0.964167,-0.265803,0.963904,-0.265768
0.270000,0.963901,-0.266767,0.963638,-0.266731
0.271000,0.963634,-0.267731,0.963370,-0.267695
0.272000,0.963367,-0.268695,0.963101,-0.268658
0.273000,0.963098,-0.269658,0.962832,-0.269622
0.274000,0.962828,-0.270621,0.962561,-0.270584
0.275000,0.962558,-0.271584,0.962289,-0.271547
0.276000,0.962286,-0.272547,0.962017,-0.272509
0.277000,0.962013,-0.273509,0.961743,-0.273471
0.278000,0.961740,-0.274471,0.961469,-0.274433
0.279000,0.961465,-0.275433,0.961194,-0.275395
0.280000,0.961190,-0.276394,0.960917,-0.276356
0.281000,0.960914,-0.277355,0.960640,-0.277317
0.282000,0.960636,-0.278316,0.960362,-0.278277
0.283000,0.960358,-0.279277,0.960082,-0.279238
0.284000,0.960079,-0.280237,0.959802,-0.280198
0.285000,0.959798,-0.281197,0.959521,-0.281157
0.286000,0.959517,-0.282157,0.959239,-0.282117
0.287000,0.959235,-0.283117,0.958956,-0.283076
0.288000,0.958952,-0.284076,0.958672,-0.284035
0.289000,0.958668,-0.285035,0.958387,-0.284994
0.290000,0.958383,-0.285994,0.958101,-0.285952
0.291000,0.958097,-0.286952,0.957814,-0.286910
0.292000,0.957810,-0.287910,0.957526,-0.287868
0.293000,0.957522,-0.288868,0.957237,-0.288826
0.294000,0.957233,-0.289825,0.956948,-0.289783
0.295000,0.956943,-0.290783,0.956657,-0.290740
0.296000,0.956653,-0.291740,0.956365,-0.291697
0.297000,0.956361,-0.292696,0.956072,-0.292653
0.298000,0.956068,-0.293653,0.955779,-0.293609
0.299000,0.955774,-0.294609,0.955484,-0.294565
0.300000,0.955480,-0.295564,0.955189,-0.295520
0.301000,0.955184,-0.296520,0.954892,-0.296475
0.302000,0.954888,-0.297475,0.954595,-0.297430
0.303000,0.954590,-0.298430,0.954296,-0.298385
0.304000,0.954292,-0.299385,0.953997,-0.299339
0.305000,0.953992,-0.300339,0.953697,-0.300293
0.306000,0.953692,-0.301293,0.953396,-0.301247
0.307000,0.953391,-0.302247,0.953093,-0.302200
0.308000,0.953089,-0.303200,0.952790,-0.303153
0.309000,0.952785,-0.304153,0.952486,-0.304106
0.310000,0.952481,-0.305106,0.952181,-0.305059
0.311000,0.952176,-0.306058,0.951875,-0.306011
0.312000,0.951870,-0.307010,0.951568,-0.306963
0.313000,0.951563,-0.307962,0.951260,-0.307914
0.314000,0.951255,-0.308914,0.950951,-0.308866
0.315000,0.950946,-0.309865,0.950641,-0.309817
0.316000,0.950636,-0.310816,0.950331,-0.310767
0.317000,0.950325,-0.311767,0.950019,-0.311717
0.318000,0.950014,-0.312717,0.949706,-0.312668
0.319000,0.949701,-0.313667,0.949393,-0.313617
0.320000,0.949387,-0.314617,0.949078,-0.314567
0.321000,0.949073,-0.315566,0.948763,-0.315516
0.322000,0.948757,-0.316515,0.948446,-0.316464
0.323000,0.948441,-0.317464,0.948129,-0.317413
0.324000,0.948123,-0.318412,0.947810,-0.318361
0.325000,0.947805,-0.319361,0.947491,-0.319309
0.326000,0.947485,-0.320308,0.947171,-0.320256
0.327000,0.947165,-0.321256,0.946850,-0.321204
0.328000,0.946844,-0.322203,0.946527,-0.322150
0.329000,0.946522,-0.323150,0.946204,-0.323097
0.330000,0.946198,-0.324096,0.945880,-0.324043
0.331000,0.945874,-0.325043,0.945555,-0.324989
0.332000,0.945549,-0.325988,0.945229,-0.325935
0.333000,0.945223,-0.326934,0.944903,-0.326880
0.334000,0.944896,-0.327879,0.944575,-0.327825
0.335000,0.944569,-0.328824,0.944246,-0.328769
0.336000,0.944240,-0.329769,0.943916,-0.329713
0.337000,0.943910,-0.330713,0.943586,-0.330657
0.338000,0.943579,-0.331657,0.943254,-0.331601
0.339000,0.943248,-0.332600,0.942921,-0.332544
0.340000,0.942915,-0.333544,0.942588,-0.333487
0.341000,0.942581,-0.334487,0.942253,-0.334430
0.342000,0.942247,-0.335429,0.941918,-0.335372
0.343000,0.941912,-0.336371,0.941582,-0.336314
0.344000,0.941575,-0.337313,0.941245,-0.337255
0.345000,0.941238,-0.338255,0.940906,-0.338197
0.346000,0.940900,-0.339196,0.940567,-0.339138
0.347000,0.940560,-0.340137,0.940227,-0.340078
0.348000,0.940220,-0.341078,0.939886,-0.341018
0.349000,0.939879,-0.342018,0.939544,-0.341958
0.350000,0.939537,-0.342958,0.939201,-0.342898
0.351000,0.939194,-0.343897,0.938857,-0.343837
0.352000,0.938850,-0.344836,0.938513,-0.344776
0.353000,0.938505,-0.345775,0.938167,-0.345714
0.354000,0.938160,-0.346714,0.937820,-0.346653
0.355000,0.937813,-0.347652,0.937473,-0.347590
0.356000,0.937465,-0.348590,0.937124,-0.348528
0.357000,0.937117,-0.349527,0.936775,-0.349465
0.358000,0.936767,-0.350464,0.936424,-0.350402
0.359000,0.936417,-0.351401,0.936073,-0.351338
0.360000,0.936065,-0.352338,0.935721,-0.352274
0.361000,0.935713,-0.353274,0.935367,-0.353210
0.362000,0.935360,-0.354209,0.935013,-0.354145
0.363000,0.935006,-0.355145,0.934658,-0.355080
0.364000,0.934650,-0.356080,0.934302,-0.356015
0.365000,0.934294,-0.357014,0.933945,-0.356949
0.366000,0.933937,-0.357949,0.933587,-0.357883
0.367000,0.933579,-0.358883,0.933229,-0.358817
0.368000,0.933220,-0.359816,0.932869,-0.359750
0.369000,0.932861,-0.360749,0.932508,-0.360683
0.370000,0.932500,-0.361682,0.932147,-0.361615
0.371000,0.932138,-0.362615,0.931784,-0.362548
0.372000,0.931776,-0.363547,0.931421,-0.363479
0.373000,0.931412,-0.364479,0.931056,-0.364411
0.374000,0.931048,-0.365410,0.930691,-0.365342
0.375000,0.930682,-0.366341,0.930324,-0.366273
0.376000,0.930316,-0.367272,0.929957,-0.367203
0.377000,0.929949,-0.368202,0.929589,-0.368133
0.378000,0.929580,-0.369132,0.929220,-0.369062
0.379000,0.929211,-0.370062,0.928850,-0.369992
0.380000,0.928841,-0.370991,0.928479,-0.370921
0.381000,0.928470,-0.371920,0.928107,-0.371849
0.382000,0.928098,-0.372848,0.927735,-0.372777
0.383000,0.927725,-0.373776,0.927361,-0.373705
0.384000,0.927352,-0.374704,0.926986,-0.374632
0.385000,0.926977,-0.375631,0.926611,-0.375559
0.386000,0.926601,-0.376558,0.926234,-0.376486
0.387000,0.926225,-0.377485,0.925857,-0.377412
0.388000,0.925847,-0.378411,0.925478,-0.378338
0.389000,0.925469,-0.379337,0.925099,-0.379263
0.390000,0.925089,-0.380262,0.924719,-0.380188
0.391000,0.924709,-0.381188,0.924338,-0.381113
0.392000,0.924328,-0.382112,0.923956,-0.382038
0.393000,0.923946,-0.383037,0.923573,-0.382961
0.394000,0.923563,-0.383961,0.923189,-0.383885
0.395000,0.923179,-0.384884,0.922804,-0.384808
0.396000,0.922794,-0.385807,0.922418,-0.385731
0.397000,0.922408,-0.386730,0.922032,-0.386653
0.398000,0.922022,-0.387652,0.921644,-0.387576
0.399000,0.921634,-0.388574,0.921256,-0.388497
0.400000,0.921245,-0.389496,0.920866,-0.389418
0.401000,0.920856,-0.390417,0.920476,-0.390339
0.402000,0.920465,-0.391338,0.920085,-0.391260
0.403000,0.920074,-0.392259,0.919692,-0.392180
0.404000,0.919682,-0.393179,0.919299,-0.393100
0.405000,0.919289,-0.394098,0.918905,-0.394019
0.406000,0.918894,-0.395018,0.918510,-0.394938
0.407000,0.918499,-0.395937,0.918115,-0.395856
0.408000,0.918104,-0.396855,0.917718,-0.396774
0.409000,0.917707,-0.397773,0.917320,-0.397692
0.410000,0.917309,-0.398691,0.916922,-0.398609
0.411000,0.916910,-0.399608,0.916522,-0.399526
0.412000,0.916511,-0.400525,0.916122,-0.400443
0.413000,0.916110,-0.401442,0.915720,-0.401359
0.414000,0.915709,-0.402358,0.915318,-0.402275
0.415000,0.915306,-0.403273,0.914915,-0.403190
0.416000,0.914903,-0.404189,0.914511,-0.404105
0.417000,0.914499,-0.405104,0.914106,-0.405019
0.418000,0.914094,-0.406018,0.913700,-0.405934
0.419000,0.913688,-0.406932,0.913293,-0.406847
0.420000,0.913281,-0.407846,0.912885,-0.407761
0.421000,0.912873,-0.408759,0.912476,-0.408673
0.422000,0.912464,-0.409672,0.912067,-0.409586
0.423000,0.912054,-0.410585,0.911656,-0.410498
0.424000,0.911644,-0.411497,0.911245,-0.411410
0.425000,0.911232,-0.412408,0.910833,-0.412321
0.426000,0.910820,-0.413320,0.910419,-0.413232
0.427000,0.910407,-0.414230,0.910005,-0.414142
0.428000,0.909992,-0.415141,0.909590,-0.415052
0.429000,0.909577,-0.416051,0.909174,-0.415962
0.430000,0.909161,-0.416960,0.908757,-0.416871
0.431000,0.908744,-0.417869,0.908340,-0.417780
0.432000,0.908326,-0.418778,0.907921,-0.418688
0.433000,0.907908,-0.419687,0.907501,-0.419596
0.434000,0.907488,-0.420594,0.907081,-0.420503
0.435000,0.907067,-0.421502,0.906659,-0.421410
0.436000,0.906646,-0.422409,0.906237,-0.422317
0.437000,0.906223,-0.423316,0.905814,-0.423223
0.438000,0.905800,-0.424222,0.905390,-0.424129
0.439000,0.905376,-0.425128,0.904965,-0.425035
0.440000,0.904951,-0.426033,0.904539,-0.425940
0.441000,0.904525,-0.426938,0.904112,-0.426844
0.442000,0.904098,-0.427843,0.903684,-0.427748
0.443000,0.903670,-0.428747,0.903255,-0.428652
0.444000,0.903241,-0.429650,0.902826,-0.429555
0.445000,0.902812,-0.430554,0.902395,-0.430458
0.446000,0.902381,-0.431456,0.901964,-0.431360
0.447000,0.901950,-0.432359,0.901532,-0.432262
0.448000,0.901517,-0.433261,0.901099,-0.433164
0.449000,0.901084,-0.434162,0.900665,-0.434065
0.450000,0.900650,-0.435063,0.900230,-0.434966
0.451000,0.900215,-0.435964,0.899794,-0.435866
0.452000,0.899779,-0.436864,0.899357,-0.436766
0.453000,0.899342,-0.437764,0.898919,-0.437665
0.454000,0.898904,-0.438663,0.898481,-0.438564
0.455000,0.898465,-0.439562,0.898041,-0.439462
0.456000,0.898026,-0.440461,0.897601,-0.440360
0.457000,0.897585,-0.441359,0.897160,-0.441258
0.458000,0.897144,-0.442256,0.896718,-0.442155
0.459000,0.896702,-0.443153,0.896274,-0.443052
0.460000,0.896259,-0.444050,0.895831,-0.443948
0.461000,0.895815,-0.444946,0.895386,-0.444844
0.462000,0.895370,-0.445842,0.894940,-0.445739
0.463000,0.894924,-0.446738,0.894493,-0.446634
0.464000,0.894477,-0.447632,0.894046,-0.447529
0.465000,0.894029,-0.448527,0.893597,-0.448423
0.466000,0.893581,-0.449421,0.893148,-0.449316
0.467000,0.893132,-0.450315,0.892698,-0.450210
0.468000,0.892681,-0.451208,0.892247,-0.451102
0.469000,0.892230,-0.452100,0.891795,-0.451995
0.470000,0.891778,-0.452993,0.891342,-0.452886
0.471000,0.891325,-0.453884,0.890888,-0.453778
0.472000,0.890871,-0.454776,0.890433,-0.454669
0.473000,0.890416,-0.455667,0.889978,-0.455559
0.474000,0.889961,-0.456557,0.889521,-0.456449
0.475000,0.889504,-0.457447,0.889064,-0.457339
0.476000,0.889047,-0.458336,0.888606,-0.458228
0.477000,0.888588,-0.459225,0.888147,-0.459116
0.478000,0.888129,-0.460114,0.887687,-0.460004
0.479000,0.887669,-0.461002,0.887226,-0.460892
0.480000,0.887208,-0.461890,0.886764,-0.461779
0.481000,0.886746,-0.462777,0.886301,-0.462666
0.482000,0.886283,-0.463664,0.885838,-0.463552
0.483000,0.885820,-0.464550,0.885373,-0.464438
0.484000,0.885355,-0.465436,0.884908,-0.465324
0.485000,0.884890,-0.466321,0.884442,-0.466208
0.486000,0.884423,-0.467206,0.883975,-0.467093
0.487000,0.883956,-0.468091,0.883507,-0.467977
0.488000,0.883488,-0.468975,0.883038,-0.468860
0.489000,0.883019,-0.469858,0.882568,-0.469743
0.490000,0.882549,-0.470741,0.882098,-0.470626
0.491000,0.882078,-0.471624,0.881626,-0.471508
0.492000,0.881607,-0.472506,0.881154,-0.472390
0.493000,0.881134,-0.473387,0.880680,-0.473271
0.494000,0.880661,-0.474268,0.880206,-0.474152
0.495000,0.880187,-0.475149,0.879731,-0.475032
0.496000,0.879711,-0.476029,0.879255,-0.475911
0.497000,0.879235,-0.476909,0.878778,-0.476791
0.498000,0.878759,-0.477788,0.878301,-0.477669
0.499000,0.878281,-0.478667,0.877822,-0.478548
0.500000,0.877802,-0.479545,0.877343,-0.479426
0.501000,0.877323,-0.480423,0.876863,-0.480303
0.502000,0.876842,-0.481300,0.876381,-0.481180
0.503000,0.876361,-0.482177,0.875899,-0.482056
0.504000,0.875879,-0.483054,0.875416,-0.482932
0.505000,0.875396,-0.483929,0.874933,-0.483808
0.506000,0.874912,-0.484805,0.874448,-0.484682
0.507000,0.874427,-0.485680,0.873962,-0.485557
0.508000,0.873941,-0.486554,0.873476,-0.486431
0.509000,0.873455,-0.487428,0.872989,-0.487304
0.510000,0.872967,-0.488302,0.872500,-0.488177
0.511000,0.872479,-0.489175,0.872011,-0.489050
0.512000,0.871990,-0.490047,0.871521,-0.489922
0.513000,0.871500,-0.490919,0.871031,-0.490793
0.514000,0.871009,-0.491791,0.870539,-0.491664
0.515000,0.870517,-0.492662,0.870046,-0.492535
0.516000,0.870024,-0.493532,0.869553,-0.493405
