8900,0.0103371,0.0157303,0.0350562,0.0341573,0.0202247,0.00898876,0.0121348,0.014382,0.00404494,0.0431461
9000,0.00444444,0.004,0.02,0.016,0.00755556,0.0213333,0.00888889,0.0177778,0.0146667,0.0217778
9100,0.0237363,0.0294505,0.0184615,0.0043956,0.00571429,0.00571429,0.00879121,0,0.0171429,0.0210989
9200,0.046087,0.00130435,0.00869565,0.00608696,0.0295652,0.000434783,0.0117391,0.00956522,0.016087,0.0108696
9300,0.0430108,0.00301075,0.00129032,0.0219355,0.012043,0.00903226,0.0176344,0.0172043,0.000860215,0.00817204
9400,0.0306383,0.00808511,0.0629787,0,0.0485106,0.0093617,0.00212766,0.0140426,0.0182979,0.00425532
9500,0.0265263,0.00715789,0.0277895,0.00926316,0.00842105,0.00336842,0.00421053,0.00505263,0.00547368,0.00126316
9600,0.000833333,0.00708333,0.0279167,0.00791667,0.0208333,0.00875,0.0175,0.01125,0.02125,0.0370833
9700,0.0169072,0.0119588,0.00742268,0.00989691,0.0119588,0.0173196,0.0268041,0.0202062,0.0251546,0.0280412
9800,0.0314286,0.0285714,0.0297959,0.00244898,0.0232653,0.0044898,0.0138776,0.00244898,0.0134694,0.0122449
9900,0.0375758,0.0307071,0.0323232,0.010101,0.0189899,0.00888889,0.000808081,0.0270707,0.00848485,0.0214141
10000,0.0132,0.0128,0.008,0.0216,0.0076,0.0388,0.0016,0.0024,0.026,0.0276
10100,0.0150495,0.0261386,0.0162376,0.000792079,0.0039604,0.00594059,0.0170297,0.00554455,0.00039604,0.00554455
10200,0.0156863,0.0133333,0.00823529,0.04,0.0152941,0.00627451,0.0407843,0.0117647,0.00392157,0.0152941
10300,0.0198058,0.00194175,0.0116505,0.00349515,0.00427184,0.0287379,0.0186408,0.0023301,0.0260194,0.0139806
10400,0.00115385,0.0392308,0.0238462,0.00615385,0.0246154,0,0.00192308,0.00153846,0.0153846,0.005
10500,0.000380952,0.0114286,0.0182857,0.0087619,0.00495238,0.00533333,0.016,0.0369524,0.000380952,0.0266667
10600,0.0241509,0.029434,0.010566,0.014717,0.00754717,0.0211321,0.0226415,0.0150943,0.0433962,0.00188679
10700,0.00897196,0.0407477,0.0220561,0.0242991,0.00299065,0.0299065,0.0171963,0.011215,0.0127103,0.00523364
10800,0.0155556,0.0118519,0.0288889,0.00851852,0.0174074,0.0144444,0.00555556,0.0062963,0.0159259,0.0162963
10900,0.0161468,0.0187156,0,0.0040367,0.000733945,0.0433028,0.00807339,0.0110092,0.00697248,0.000733945
11000,0.0145455,0.0123636,0.0174545,0.00363636,0.00654545,0.0178182,0.0167273,0.00363636,0.0105455,0.0101818
11100,0.0205405,0.00792793,0.0209009,0.0133333,0.0133333,0.0284685,0.00324324,0.0111712,0.0108108,0.00396396
11200,0.0171429,0.005,0.00892857,0.0121429,0,0.00464286,0.0110714,0.0246429,0.00678571,0.0242857
11300,0.0223009,0.0269027,0.0141593,0.00743363,0.0261947,0.00743363,0.00283186,0.0258407,0.020177,0.00495575
11400,0.0150877,0.0182456,0.0101754,0.0231579,0.00421053,0.0161404,0.00666667,0.00140351,0.00491228,0.02
11500,0.0253913,0.018087,0.0330435,0.0229565,0.00278261,0,0,0.0406957,0.0142609,0.0135652
11600,0.0231034,0.0127586,0.012069,0.0137931,0.00448276,0.017931,0.00551724,0.0193103,0.0124138,0.0393103
11700,0.0133333,0.0321368,0.00854701,0.0116239,0.0348718,0.0150427,0.0133333,0.0164103,0.014359,0.0174359
11800,0.0166102,0.00644068,0.00135593,0.0247458,0.0244068,0.0152542,0.00813559,0.0122034,0.00711864,0.0118644
11900,0.00773109,0.00504202,0.0107563,0.0154622,0.0265546,0.0184874,0.00605042,0.0131092,0.00168067,0.0157983
12000,0.0103333,0.01,0.00533333,0.0103333,0.00333333,0.00266667,0.015,0.00566667,0.000333333,0.0193333
12100,0.0122314,0.0264463,0.00330579,0.0115702,0.00231405,0.00826446,0.00495868,0.00694215,0.00165289,0.00330579
12200,0.0131148,0.00885246,0.00360656,0.00393443,0.00229508,0.0118033,0.0108197,0.00885246,0.00918033,0.0367213
12300,0.00878049,0.00650407,0.0149593,0.00747967,0.00097561,0.00747967,0.0185366,0.00650407,0.00552846,0.0178862
12400,0.0125806,0.00774194,0.00193548,0.016129,0.0235484,0.00225806,0.0109677,0.00290323,0.0148387,0.0396774
12500,0.00704,0.02112,0.02208,0.0144,0.00896,0.00832,0.00512,0.00032,0.00736,0.01344
12600,0.0187302,0.00349206,0.0260317,0.00857143,0.0104762,0.00507937,0.0126984,0.00285714,0.0133333,0.0120635
12700,0.0110236,0.0088189,0.00755906,0.00220472,0.0110236,0.00503937,0.0352756,0.00692913,0.0015748,0.0141732
12800,0.000625,0.0240625,0.0059375,0.00125,0.00125,0.0090625,0.00875,0.0078125,0.0071875,0.00375
12900,0.0133333,0.00434109,0.0254264,0.00775194,0.0105426,0.0291473,0.00124031,0.0223256,0.00496124,0.0102326
13000,0.0203077,0.00153846,0.0101538,0.0243077,0.00461538,0.00215385,0.0104615,0.0101538,0.0196923,0.00215385
13100,0.0152672,0.00458015,0.010687,0.00580153,0.0238168,0.0235115,0.00763359,0.0116031,0.0210687,0.00519084
13200,0.0157576,0.00787879,0.0124242,0.0142424,0.00818182,0.0030303,0.0324242,0.0069697,0.00424242,0.00757576
