realization,acc_ratio,energy
1,0.95,-101000
1,0.91,-101000
1,0.93,-101000
1,0.94,-101000
1,0.92,-101000
1,0.96,-101000
1,0.95,-101000
1,0.96,-101000
1,0.93,-101000
1,0.98,-101000
1,0.92,-101000
1,0.86,-101000
1,0.87,-101000
1,0.92,-101000
1,0.9,-101000
1,0.96,-101000
1,0.94,-101000
1,0.9,-101000
1,0.94,-101000
1,0.91,-101000
1,0.9,-101000
1,0.96,-101000
1,0.92,-101000
1,0.97,-101000
1,0.94,-101000
1,0.94,-101000
1,0.89,-101000
1,0.93,-101000
1,0.91,-101000
1,0.92,-101000
1,0.93,-101000
1,0.94,-101000
1,0.96,-101000
1,0.98,-101000
1,0.96,-101000
1,0.93,-101000
1,0.93,-101000
1,0.98,-101000
1,0.97,-101000
1,0.97,-101000
1,0.92,-101000
1,0.93,-101000
1,0.95,-101000
1,0.94,-101000
1,0.94,-101000
1,0.88,-101000
1,0.94,-101000
1,0.93,-101000
1,0.89,-101000
1,0.94,-101000
1,0.96,-101000
1,0.98,-101000
1,0.88,-101000
1,0.94,-101000
1,0.93,-101000
1,0.93,-101000
1,0.96,-101000
1,0.89,-101000
1,0.97,-101000
1,0.96,-101000
1,0.98,-101000
1,0.92,-101000
1,0.95,-101000
1,0.9,-101000
1,0.96,-101000
1,0.94,-101000
1,0.95,-101000
1,0.94,-101000
1,0.88,-101000
1,0.94,-101000
1,0.93,-101000
1,0.93,-101000
1,0.94,-101000
1,0.94,-101000
1,0.96,-101000
1,0.93,-101000
1,0.9,-101000
1,0.94,-101000
1,0.93,-101000
1,0.94,-101000
1,0.92,-101000
1,0.91,-101000
1,0.92,-101000
1,0.93,-101000
1,0.92,-101000
1,0.94,-101000
1,0.91,-101000
1,0.9,-101000
1,0.98,-101000
1,0.97,-101000
1,0.9,-101000
1,0.98,-101000
1,0.99,-101000
1,0.98,-101000
1,0.94,-101000
1,0.94,-101000
1,0.95,-101000
1,0.97,-101000
1,0.96,-101000
1,0.96,-101000
1,0.92,-101000
1,0.91,-101000
1,0.91,-101000
1,0.94,-102000
1,0.9,-102000
1,0.94,-102000
1,0.94,-102000
1,0.92,-102000
1,0.89,-102000
1,0.89,-102000
1,0.9,-102000
1,0.96,-102000
1,0.89,-102000
1,0.93,-102000
1,0.91,-102000
1,0.91,-102000
1,0.92,-102000
1,0.85,-102000
1,0.93,-102000
1,0.95,-102000
1,0.93,-102000
1,0.91,-102000
1,0.93,-102000
1,0.97,-103000
1,0.95,-103000
1,0.93,-103000
1,0.95,-103000
1,0.92,-103000
1,0.96,-103000
1,0.93,-103000
1,0.91,-103000
1,0.88,-103000
1,0.89,-103000
1,0.94,-103000
1,0.89,-103000
1,0.97,-103000
1,0.94,-103000
1,0.93,-103000
1,0.92,-103000
1,0.93,-103000
1,0.91,-103000
1,0.91,-103000
1,0.9,-103000
1,0.94,-103000
1,0.93,-103000
1,0.97,-103000
1,0.96,-103000
1,0.92,-103000
1,0.92,-103000
1,0.91,-103000
1,0.93,-103000
1,0.92,-103000
1,0.98,-103000
1,0.94,-103000
1,0.93,-103000
1,0.92,-103000
1,0.93,-103000
1,0.91,-103000
1,0.94,-103000
1,0.89,-103000
1,0.9,-103000
1,0.9,-103000
1,0.93,-103000
1,0.95,-103000
1,0.91,-103000
1,0.95,-103000
1,0.94,-103000
1,0.91,-103000
1,0.95,-103000
1,0.94,-103000
1,0.93,-103000
1,0.95,-103000
1,0.99,-103000
1,0.96,-103000
1,0.97,-103000
1,0.95,-103000
1,0.98,-103000
1,0.93,-103000
1,0.93,-103000
1,0.96,-103000
1,0.94,-103000
1,0.91,-103000
1,0.95,-103000
1,0.95,-103000
1,0.93,-103000
1,0.92,-103000
1,0.94,-103000
1,0.94,-103000
1,0.87,-103000
1,0.96,-103000
1,0.98,-103000
1,0.97,-103000
1,0.94,-103000
1,0.94,-103000
1,0.99,-103000
1,0.94,-103000
1,0.94,-103000
1,0.94,-103000
1,0.95,-103000
1,0.94,-103000
1,0.87,-103000
1,0.95,-103000
1,0.92,-103000
1,0.95,-103000
1,0.93,-103000
1,0.97,-103000
1,0.95,-103000
1,0.97,-103000
