realization,energy,pressure,acc_ratio
1,-144.074,0.739662,0.34
1,-149.332,0.541731,0.35
1,-140.762,0.815456,0.45
1,-137.273,0.849252,0.41
1,-136.56,0.934253,0.33
1,-134.142,1.00539,0.52
1,-126.916,1.23203,0.38
1,-115.893,1.43214,0.47
1,-120.548,1.212,0.38
1,-128.065,1.14391,0.39
1,-127.145,1.02208,0.42
1,-121.128,1.21591,0.39
1,-117.577,1.379,0.48
1,-124.082,1.17001,0.47
1,-121.754,1.16969,0.42
1,-128.325,1.26306,0.45
1,-128.3,1.20052,0.48
1,-118.438,1.57887,0.41
1,-124.325,1.47145,0.49
1,-119.537,1.40973,0.45
1,-119.369,1.36478,0.45
1,-125.012,1.29234,0.49
1,-112.985,1.57805,0.43
1,-102.721,1.9069,0.3
1,-100.011,2.13017,0.46
1,-123.156,1.31204,0.41
1,-130.614,1.24529,0.35
1,-126.274,1.34598,0.34
1,-139.552,1.01745,0.38
1,-140.999,0.928082,0.36
1,-152.282,0.626143,0.46
1,-142.184,0.95325,0.34
1,-141.92,1.09373,0.4
1,-147.112,0.883039,0.36
1,-135.795,1.18525,0.39
1,-124.774,1.37397,0.4
1,-131.284,1.22971,0.37
1,-136.756,0.979334,0.45
1,-114.388,1.64031,0.37
1,-125.625,1.28137,0.34
1,-130.619,1.0458,0.38
1,-134.37,1.0321,0.42
1,-125.194,1.37929,0.5
1,-121.221,1.41906,0.39
1,-136.398,1.08135,0.39
1,-132.736,1.00455,0.51
1,-126.859,1.2813,0.37
1,-118.394,1.77862,0.38
1,-113.328,1.8362,0.45
1,-111.789,1.6411,0.47
1,-131.03,1.12113,0.42
1,-133.727,1.16162,0.42
1,-151.575,0.615885,0.46
1,-144.407,0.765258,0.43
1,-155.764,0.468476,0.44
1,-149.321,0.737014,0.41
1,-142.804,0.729492,0.39
1,-145.728,0.678754,0.49
1,-140.366,0.911305,0.43
1,-131.173,1.25714,0.39
1,-129.75,1.37356,0.41
1,-134.502,1.07421,0.4
1,-131.707,1.13286,0.46
1,-147.884,0.708304,0.37
1,-140.07,0.92412,0.41
1,-146.502,0.818327,0.41
1,-138.163,1.03624,0.32
1,-141.194,0.97375,0.35
1,-130.454,1.16886,0.46
1,-128.264,1.30317,0.51
1,-129.072,1.45583,0.38
1,-128.732,1.55754,0.38
1,-130.641,1.48399,0.39
1,-134.076,1.20787,0.33
1,-131.033,1.21682,0.32
1,-123.992,1.36248,0.41
1,-128.344,1.33098,0.3
1,-142.511,1.11728,0.46
1,-145.594,1.09381,0.36
1,-145.229,1.23132,0.41
1,-145.175,1.02399,0.41
1,-138.752,1.19493,0.37
1,-144.332,0.992165,0.39
1,-143.065,1.03664,0.41
1,-151.599,0.725496,0.43
1,-156.641,0.50201,0.45
1,-160.741,0.48473,0.47
1,-166.67,0.157148,0.46
1,-155.319,0.376332,0.44
1,-151.484,0.487584,0.51
1,-140.784,1.04447,0.37
1,-148.727,0.945371,0.44
1,-147.274,1.16352,0.38
1,-132.775,1.33551,0.44
