throws,error
8100,0.000428362
8100,0.00554486
8100,0.00192949
8100,0.000357588
8100,0.000742742
8100,0.00554486
8200,0.000269408
8200,0.00516515
8200,0.00135632
8200,0.00244323
8200,0.00135632
8200,0.00461706
8200,0.00190442
8200,0.00989634
8200,0.0105174
8200,0.0137052
8300,0.00202418
8300,0.00487892
8300,0.00917419
8300,0.00125717
8300,0.00800687
8300,0.00487892
8300,0.0107681
8300,0.00662625
8300,2.99509e-05
8300,0.00110377
8400,0.00657
8400,0.00778261
8400,0.000961686
8400,0.00282772
8400,0.00444794
8400,0.000355381
8400,0.00960153
8400,0.00459951
8400,0.00206984
8400,0.00399321
8500,0.00222958
8500,0.00222958
8500,0.00406173
8500,0.000167111
8500,0.0109522
8500,0.0037275
8500,0.0124155
8500,0.00148061
8500,0.000731647
8500,0.00941963
8600,0.00272772
8600,0.0058368
8600,0.00822806
8600,0.00198747
8600,0.00215796
8600,0.00230601
8600,0.00228357
8600,0.00393458
8600,0.00080306
8600,0.0119069
8700,0.00160458
8700,0.00439575
8700,0.00379982
8700,0.00116553
8700,0.00175093
8700,0.00293225
8700,0.000141084
8700,0.00189728
8700,0.00204363
8700,0.00834718
8800,0.00528161
8800,0.00629441
8800,0.003256
8800,0.00238788
8800,0.00759659
8800,0.003256
8800,0.00556987
8800,0.00904234
8800,0.00716253
8800,0.00267725
8900,0.00457169
8900,0.00172297
8900,0.00458419
8900,0.00358276
8900,0.00100767
8900,0.00100767
8900,0.00442863
8900,0.00372582
8900,0.00229522
8900,0.00142436
9000,0.00218099
9000,0.00161511
9000,0.000624811
9000,0.00331276
9000,0.00317129
9000,0.00161511
9000,0.000648428
9000,0.00333638
9000,0.00206314
9000,0.0051755
9100,0.00655882
9100,0.00334074
9100,0.00138191
9100,0.000542416
9100,0.00645341
9100,0.00309541
9100,0.000262583
9100,0.00225591
9100,0.00379499
9100,0.0121555
9200,0.00461368
9200,0.00267614
9200,0.00313647
9200,0.0021677
9200,0.00396685
9200,0.0107482
9200,0.00516726
9200,0.00341327
9200,0.00493562
9200,0.00728834
9300,0.00495645
9300,0.00112304
9300,0.00536717
9300,0.00599615
9300,0.00112304
9300,0.00613306
9300,0.00440882
9300,0.00632553
9300,0.00851604
9300,0.00742079
9400,0.0101937
9400,0.0101937
9400,0.000777859
9400,0.00748465
9400,0.000642408
9400,0.00402868
9400,0.00863402
9400,0.00321598
9400,0.00260842
9400,0.00247296
9500,0.00459473
9500,0.00237458
9500,0.00405863
9500,0.00719949
9500,9.61561e-05
9500,0.00245032
9500,0.00224056
9500,0.00116836
9500,0.00411691
9500,0.000498232
9600,0.00780156
9600,0.00634264
9600,0.000554076
9600,0.00713841
9600,0.00541423
9600,0.0120928
9600,0.000156188
9600,0.00103747
9600,0.0034248
9600,0.00227825
9700,0.000178803
9700,0.000310065
9700,0.000441326
9700,0.00835321
9700,0.00192139
9700,0.0104534
9700,0.00966583
9700,0.00109764
9700,0.0145225
9700,0.00074003
9800,0.000272577
9800,0.000922189
9800,0.00141641
9800,0.00284556
9800,0.00440463
9800,0.000922189
9800,0.00261118
9800,0.00313087
9800,0.000272577
9800,0.00778261
9900,0.00185736
9900,0.00354426
9900,0.004944
9900,0.00264399
9900,0.00714534
9900,0.00688812
9900,0.0086737
9900,0.00134292
9900,0.00122928
9900,0.00341565
10000,0.0106976
10000,0.00636854
10000,0.0117161
10000,0.00242149
10000,0.00038431
10000,0.00725513
10000,0.000638958
10000,0.000124986
10000,0.0019122
10000,0.000379633
10100,0.00573859
10100,0.00800772
10100,6.57358e-05
10100,0.00901082
10100,0.00473008
10100,0.00384223
10100,0.00233488
10100,0.0022034
10100,0.00359551
10100,0.00825444
10200,0.000506957
10200,0.00175523
10200,0.00723234
10200,0.0038773
10200,0.00486062
10200,0.00473579
10200,0.00124063
10200,0.00350282
10200,0.00186476
10200,0.0025042
10300,0.0127817
10300,0.0114219
10300,0.000939612
10300,0.000420159
10300,0.00536478
10300,0.00684816
10300,0.00623009
10300,0.00155769
10300,0.00697178
10300,0.00304107
10400,0.00466947
10400,0.00145187
10400,0.00369006
10400,0.00503675
10400,0.000350031
10400,0.0016088
10400,0.00809742
10400,0.00353313
10400,0.00879749
10400,0.00708351
10500,0.00347785
10500,0.00525294
10500,0.00541802
10500,0.00311407
10500,0.0031915
10500,0.00197889
10500,0.000203805
10500,0.00755689
10500,0.00384163
10500,0.00440411
10600,0.00867491
10600,0.00213562
10600,0.00117468
10600,0.00314953
10600,0.00657994
10600,0.00357702
10600,0.00687316
10600,0.0029093
10600,0.00297643
10600,0.00615245
10700,0.00270835
10700,0.00532623
10700,0.00401729
10700,0.00395533
10700,0.00532623
10700,0.000328466
10700,0.00264639
10700,0.00478829
10700,0.00568321
10700,0.00907209
10800,0.00286481
10800,0.00357216
10800,0.00380795
10800,0.00715606
10800,0.00397296
10800,0.00203956
10800,0.00137932
10800,0.0014501
10800,0.00581212
10800,0.00267614
10900,0.00317259
10900,0.00282216
10900,0.000719558
10900,0.00177086
10900,0.00095318
10900,0.00114942
10900,0.00453694
10900,0.00290158
10900,0.00757402
10900,0.0142322
11000,0.0013172
11000,0.00261827
11000,0.00583141
11000,0.0106929
11000,0.0010857
11000,0.00455817
11000,0.00180802
11000,0.00860939
11000,0.0013172
11000,0.0048175
11100,0.00390923
11100,0.00574453
11100,0.000564311
11100,0.0120534
11100,0.00172981
11100,0.00102314
11100,0.00310629
11100,0.000812165
11100,0.00482688
11100,0.00172981
11200,0.00164378
11200,0.00334901
11200,0.00698684
