energy,magnet,clus_size
-1038,82,5
-1036,86,2
-1038,82,2
-1036,86,2
-1032,84,1
-1026,88,2
-1040,82,3
-1040,80,1
-1044,78,1
-1038,82,2
-1032,46,18
-1040,48,1
-1040,46,1
-1068,28,9
-1080,40,6
-1080,38,1
-1084,46,4
-1086,42,2
-1078,34,4
-1070,44,5
-1070,46,1
-1080,16,15
-1066,12,2
-1068,16,2
-1064,14,1
-1074,20,3
-1074,22,1
-1066,32,5
-1066,30,1
-1082,38,4
-1088,62,12
-1106,58,2
-1096,54,2
-1102,72,9
-1100,76,2
-1094,56,10
-1094,74,9
-1094,60,7
-1114,38,11
-1110,36,1
-1104,52,8
-1108,50,1
-1100,42,4
-1098,38,2
-1086,30,4
-1100,24,3
-1092,32,4
-1082,16,8
-1086,6,5
-1086,8,1
-1082,-20,14
-1104,-36,8
-1104,-34,1
-1114,-40,3
-1120,-44,2
-1116,-42,1
-1112,-40,1
-1112,-42,1
-1098,-48,3
-1098,-50,1
-1112,-54,2
-1102,-60,3
-1098,-52,4
-1102,-54,1
-1108,-58,2
-1118,-54,2
-1104,-46,4
-1092,-52,3
-1092,-54,1
-1100,-70,8
-1094,-64,3
-1102,-66,1
-1102,-64,1
-1102,-54,5
-1098,-52,1
-1096,-56,2
-1092,-58,1
-1090,-62,2
-1084,-66,2
-1080,-64,1
-1086,-40,12
-1082,-22,9
-1078,-20,1
-1076,-16,2
-1080,-18,1
-1084,-20,1
-1084,-22,1
-1094,-18,2
-1098,-36,9
-1110,-48,6
-1094,-34,7
-1088,-58,12
-1078,-66,4
-1078,-68,1
-1084,-72,2
-1074,-76,2
-1078,-78,1
-1080,-82,2
-1080,-84,1
-1076,-82,1
-1080,-84,1
-1080,-82,1
-1082,-78,2
-1086,-76,1
-1086,-78,1
-1090,-76,1
-1086,-74,1
-1084,-70,2
-1088,-72,1
-1086,-68,2
-1090,-70,1
-1090,-72,1
-1116,-60,6
-1126,-56,2
-1144,-64,4
-1140,-72,4
-1172,-54,9
-1176,-52,1
-1180,-54,1
-1182,-58,2
-1196,-68,5
-1192,-66,1
-1190,-72,3
-1204,-78,3
-1196,-76,1
-1194,-70,3
-1198,-72,1
-1204,-68,2
-1204,-56,6
-1206,-52,2
-1196,-56,2
-1190,-60,2
-1190,-58,1
-1194,-74,8
-1180,-68,3
-1172,-66,1
-1176,-68,1
-1170,-90,11
-1184,-102,6
-1182,-106,2
-1182,-118,6
-1196,-122,2
-1204,-114,4
-1206,-118,2
-1206,-124,3
-1200,-132,4
-1186,-140,4
-1178,-148,4
-1174,-146,1
-1174,-148,1
-1182,-150,1
-1168,-164,7
-1172,-162,1
-1186,-158,2
-1182,-160,1
-1186,-158,1
-1204,-166,4
-1210,-134,16
-1212,-138,2
-1220,-128,5
-1216,-130,1
-1210,-134,2
-1194,-112,11
-1190,-114,1
-1184,-102,6
-1168,-92,5
-1164,-98,3
-1160,-96,1
-1154,-84,6
-1154,-86,1
-1150,-80,3
-1158,-88,4
-1154,-90,1
-1166,-102,6
-1154,-92,5
-1172,-112,10
-1176,-110,1
-1188,-118,4
-1192,-116,1
-1206,-120,2
-1194,-110,5
-1190,-112,1
-1194,-110,1
-1190,-108,1
-1198,-94,7
-1198,-92,1
-1194,-94,1
-1210,-104,5
-1210,-102,1
-1206,-104,1
-1192,-90,7
-1192,-80,5
-1192,-86,3
-1194,-92,3
-1214,-76,8
-1210,-74,1
-1208,-70,2
-1204,-76,3
-1214,-80,2
-1226,-104,12
-1234,-106,1
-1248,-102,2
-1246,-106,2
-1250,-108,1
-1240,-112,2
-1240,-114,1
-1248,-102,6
-1252,-110,4
-1266,-120,5
-1276,-114,3
-1264,-120,3
-1274,-124,2
-1288,-128,2
-1284,-136,4
-1288,-134,1
-1274,-138,2
-1270,-140,1
-1274,-142,1
-1286,-126,8
-1286,-116,5
-1284,-110,3
-1286,-114,2
-1274,-106,4
-1258,-118,6
-1254,-116,1
-1258,-114,1
-1244,-108,3
-1252,-118,5
-1256,-120,1
-1252,-92,14
-1252,-90,1
-1256,-84,3
-1256,-86,1
-1252,-84,1
-1248,-82,1
-1252,-64,9
-1248,-66,1
-1254,-32,17
-1262,-34,1
-1272,-24,5
-1268,-48,12
-1286,-36,6
-1282,-34,1
-1288,-30,2
-1284,-40,5
-1284,-38,1
-1270,-26,6
-1270,-24,1
-1274,-26,1
-1276,-30,2
-1282,-34,2
-1278,-32,1
-1278,-30,1
-1272,-34,2
-1260,-50,8
-1246,-46,2
-1248,-54,4
-1246,-58,2
-1250,-56,1
-1246,-58,1
-1252,-64,3
-1250,-68,2
-1258,-36,16
-1252,-40,2
-1256,-42,1
-1252,-44,1
-1256,-46,1
-1264,-48,1
-1266,-56,4
-1272,-66,5
-1272,-64,1
-1282,-60,2
-1316,-28,16
-1322,-36,4
-1312,-42,3
-1306,-66,12
-1316,-62,2
-1330,-70,4
-1328,-66,2
-1310,-72,3
-1312,-68,2
-1322,-48,10
-1310,-26,11
-1308,-42,8
-1300,-24,9
-1304,-22,1
-1296,-28,3
-1296,-18,5
-1290,-14,2
-1280,-10,2
-1284,10,10
-1276,12,1
-1280,14,1
-1284,16,1
-1288,18,1
-1284,6,6
-1284,8,1
-1284,10,1
-1284,12,1
-1284,14,1
-1278,20,3
-1286,28,4
-1274,38,5
-1270,46,4
-1274,44,1
-1266,42,1
-1268,62,10
-1260,78,8
-1252,76,1
-1262,86,5
-1248,82,2
-1252,80,1
-1256,82,1
-1260,84,1
-1266,56,14
-1270,58,1
-1266,60,1
-1252,64,2
-1252,62,1
-1256,64,1
-1254,58,3
-1264,44,7
-1268,46,1
-1276,22,12
-1284,24,1
-1280,22,1
-1280,20,1
-1280,22,1
-1286,18,2
-1276,12,3
-1268,2,5
-1268,4,1
-1252,12,4
-1256,10,1
-1260,4,3
-1238,-2,3
-1248,-8,3
-1248,-10,1
-1236,0,5
-1236,2,1
-1228,0,1
-1236,2,1
-1238,-6,4
-1242,-8,1
-1250,-32,12
-1252,-36,2
-1248,-38,1
-1250,-42,2
-1244,-34,4
-1240,-36,1
-1236,-46,5
-1220,-34,6
-1226,-30,2
-1230,-32,1
-1224,-28,2
-1230,-32,2
-1226,-34,1
-1226,-32,1
-1236,-60,14
-1228,-62,1
-1228,-64,1
-1228,-62,1
-1240,-46,8
-1246,-54,4
-1246,-64,5
-1246,-66,1
-1248,-70,2
-1248,-68,1
-1244,-70,1
-1246,-66,2
-1248,-58,4
-1244,-60,1
-1246,-70,5
-1242,-68,1
-1278,-48,10
-1284,-52,2
-1298,-74,11
-1292,-66,4
-1292,-64,1
-1300,-70,3
-1304,-72,1
-1316,-80,4
-1316,-82,1
-1326,-70,6
-1320,-64,3
-1302,-88,12
-1288,-68,10
-1270,-72,2
-1282,-40,16
-1282,-46,3
-1284,-50,2
-1284,-52,1
-1282,-56,2
-1276,-60,2
-1280,-58,1
-1284,-46,6
-1302,-56,5
-1302,-54,1
-1302,-60,3
-1306,-62,1
-1304,-66,2
-1308,-52,7
-1310,-56,2
-1324,-90,17
-1336,-74,8
-1310,-60,7
-1316,-56,2
-1322,-60,2
-1338,-66,3
-1340,-82,8
-1314,-112,15
-1314,-104,4
-1318,-102,1
-1312,-98,2
-1312,-96,1
-1314,-92,2
-1332,-88,2
-1328,-86,1
-1344,-74,6
-1358,-80,3
-1354,-82,1
-1354,-84,1
-1334,-98,7
-1348,-94,2
-1348,-88,3
-1344,-94,3
-1336,-92,1
-1336,-94,1
-1336,-92,1
-1344,-82,5
-1336,-72,5
-1340,-74,1
-1344,-72,1
-1348,-70,1
-1352,-68,1
-1354,-72,2
-1340,-84,6
-1344,-86,1
-1356,-74,6
-1352,-72,1
-1344,-62,5
-1344,-106,22
-1338,-102,2
-1344,-106,2
-1328,-116,5
-1330,-112,2
-1330,-110,1
-1334,-112,1
-1328,-102,5
-1330,-98,2
-1322,-84,7
-1334,-94,5
-1348,-98,2
-1348,-120,11
-1350,-116,2
-1350,-114,1
-1368,-124,5
-1376,-122,1
-1362,-116,3
-1370,-118,1
-1374,-120,1
-1372,-124,2
-1380,-126,1
-1374,-130,2
-1384,-136,3
-1384,-138,1
-1388,-136,1
-1372,-126,5
-1372,-124,1
-1382,-120,2
-1364,-116,2
-1372,-118,1
-1362,-114,2
-1350,-132,9
-1348,-128,2
-1320,-102,13
-1322,-98,2
-1306,-130,16
-1308,-138,4
-1308,-132,3
-1302,-136,2
-1298,-128,4
-1302,-130,1
-1302,-128,1
-1306,-126,1
-1300,-122,2
-1300,-120,1
-1296,-122,1
-1300,-146,12
-1308,-148,1
-1314,-140,4
-1318,-142,1
-1318,-148,3
-1320,-144,2
-1340,-164,10
-1332,-184,10
-1334,-188,2
-1352,-184,2
-1356,-192,4
-1354,-198,3
-1356,-202,2
-1348,-200,1
-1350,-196,2
-1342,-168,14
-1334,-170,1
-1340,-174,2
-1338,-168,3
-1342,-166,1
-1324,-156,5
-1310,-152,2
-1304,-148,2
-1310,-152,2
-1314,-154,1
-1310,-152,1
-1302,-154,1
-1302,-152,1
-1308,-156,2
-1304,-158,1
-1314,-154,2
-1314,-144,5
-1306,-142,1
-1306,-144,1
-1304,-126,9
-1300,-124,1
-1284,-116,4
-1294,-120,2
-1294,-122,1
-1294,-120,1
-1292,-114,3
-1280,-104,5
-1296,-112,4
-1316,-122,5
-1302,-130,4
-1302,-128,1
-1306,-130,1
-1302,-132,1
-1294,-130,1
-1290,-132,1
-1294,-134,1
-1290,-136,1
-1296,-126,5
-1300,-120,3
-1294,-110,5
-1300,-96,7
-1284,-52,22
-1280,-54,1
-1286,-32,11
-1268,-28,2
-1278,-32,2
-1272,-14,9
-1276,-16,1
-1276,-14,1
-1264,-4,5
-1272,-6,1
-1282,-10,2
-1282,-8,1
-1272,-12,2
-1280,-14,1
-1280,-16,1
-1284,-18,1
-1288,-16,1
-1288,-18,1
-1282,-14,2
-1288,-18,2
-1280,-16,1
-1270,-12,2
-1270,-22,5
-1270,-20,1
-1278,-30,5
-1278,-22,4
-1276,-18,2
-1274,-24,3
-1270,-26,1
-1260,-22,2
-1262,-26,2
-1264,-42,8
-1258,-38,2
-1262,-40,1
-1262,-38,1
-1262,-50,6
-1264,-58,4
-1264,-56,1
-1264,-54,1
-1264,-56,1
-1272,-92,18
-1280,-94,1
-1276,-92,1
-1284,-98,3
-1264,-110,6
-1270,-104,3
-1256,-100,2
-1274,-104,2
-1302,-120,8
-1312,-108,6
-1308,-110,1
-1304,-92,9
-1314,-88,2
-1324,-92,2
-1318,-76,8
-1314,-78,1
-1314,-80,1
-1308,-92,6
-1332,-118,13
-1310,-112,3
-1292,-100,6
-1304,-78,11
-1296,-76,1
-1300,-88,6
-1298,-84,2
-1302,-86,1
-1294,-84,1
-1294,-82,1
-1298,-84,1
-1302,-86,1
-1306,-96,5
-1296,-108,6
-1290,-104,2
-1300,-92,6
-1288,-76,8
-1268,-106,15
-1262,-102,2
-1262,-104,1
-1264,-100,2
-1258,-104,2
-1262,-106,1
-1256,-126,10
-1250,-132,3
-1244,-136,2
-1236,-126,5
-1236,-128,1
-1242,-132,2
-1252,-128,2
-1248,-130,1
-1252,-132,1
-1252,-134,1
-1254,-138,2
-1244,-150,6
-1240,-152,1
-1236,-150,1
-1234,-144,3
-1232,-136,4
-1226,-122,7
-1234,-106,8
-1232,-112,3
-1232,-110,1
-1232,-112,1
-1236,-98,7
-1236,-96,1
-1230,-122,13
-1208,-114,4
-1208,-112,1
-1212,-110,1
-1204,-100,5
-1214,-96,2
-1194,-104,4
-1186,-102,1
-1172,-98,2
-1178,-94,2
-1188,-90,2
-1178,-94,2
-1178,-92,1
-1176,-96,2
-1194,-100,2
-1190,-102,1
-1168,-108,3
-1162,-114,3
-1160,-122,4
-1162,-126,2
-1144,-140,7
-1144,-142,1
-1148,-144,1
-1146,-148,2
-1148,-152,2
-1142,-156,2
-1152,-160,2
-1150,-174,7
-1136,-166,4
-1146,-162,2
-1158,-168,3
-1152,-172,2
-1150,-166,3
-1148,-160,3
-1150,-156,2
-1142,-154,1
-1136,-158,2
-1136,-156,1
-1144,-132,12
-1144,-130,1
-1146,-126,2
-1144,-114,6
-1144,-126,6
-1146,-122,2
-1142,-124,1
-1148,-132,4
-1156,-134,1
-1152,-136,1
-1148,-134,1
-1148,-136,1
-1158,-140,2
-1174,-134,3
-1182,-148,7
-1184,-134,7
-1198,-130,2
-1192,-134,2
-1168,-114,10
-1172,-112,1
-1172,-114,1
-1172,-106,4
-1182,-128,11
-1164,-124,2
-1172,-126,1
-1178,-138,6
-1176,-134,2
-1188,-140,3
-1198,-146,3
-1198,-144,1
-1182,-150,3
-1176,-154,2
-1178,-142,6
-1174,-144,1
-1178,-142,1
-1178,-140,1
-1200,-124,8
-1192,-132,4
-1196,-130,1
-1186,-110,10
-1192,-88,11
-1182,-84,2
-1196,-76,4
-1204,-68,4
-1214,-72,2
-1218,-60,6
-1216,-54,3
-1220,-52,1
-1226,-56,2
-1224,-52,2
-1224,-54,1
-1228,-56,1
-1224,-54,1
-1212,-44,5
-1216,-46,1
-1210,-62,8
-1214,-60,1
-1230,-46,7
-1232,-54,4
-1232,-56,1
-1226,-44,6
-1222,-18,13
-1222,-20,1
-1218,-22,1
-1214,-16,3
-1218,-18,1
-1212,-24,3
-1218,-28,2
-1216,-40,6
-1200,-18,11
-1194,-26,4
-1190,-28,1
-1190,-36,4
-1180,-32,2
-1174,-48,8
-1190,-58,5
-1192,-54,2
-1186,-68,7
-1186,-66,1
