side,temp,obs,mean,var,var_ci80_low,var_ci80_high,var_ci95_low,var_ci95_high,tau
64,2.13919,magnet,0.843764564536317,0.000814177722388012,0.000802528230603626,0.000826221428752724,0.000796374393727539,0.000831223122839412,11.7247347610157
90,2.13919,energy,-1.62510136570184,0.000623893456532616,0.000621155204363518,0.000626806931276647,0.000619471533592951,0.000628365737897218,4.48695727548407
90,2.13919,magnet,0.844000952119162,0.000415320966216843,0.000410709750215901,0.00041977129451299,0.000408394976369221,0.00042241437336577,11.6719204544942
32,2.14419,energy,-1.62421158088235,0.00499303158259365,0.00496947460971842,0.0050172460788669,0.00495686476583748,0.00503032562056552,4.38945620192153
32,2.14419,magnet,0.840517725840336,0.00337215807606457,0.0033101832248979,0.00343471295928263,0.00327367804716509,0.00345600804368664,10.459739413529
45,2.14419,energy,-1.59932125739185,0.00253492423472685,0.00252197666320306,0.00254922222386511,0.00251426167381825,0.00255601845877949,4.66080124798775
45,2.14419,magnet,0.840016911070477,0.00176614367809672,0.00173617940615601,0.00179324075222538,0.00172048642971207,0.00180907426648131,12.4014401005508
64,2.14419,energy,-1.61262477022059,0.00124998647682792,0.00124351482028073,0.001256779658127,0.00124012962945452,0.00126014968560478,4.62502666570333
64,2.14419,magnet,0.840488298319041,0.000867483643577328,0.000854802324211706,0.000880170268443117,0.000847387437717435,0.000886751164127282,13.2781425853886
90,2.14419,energy,-1.63353154061625,0.000632414430924077,0.000628968361582072,0.000635823818157395,0.000627223720004748,0.000637577419276954,4.51729037810869
90,2.14419,magnet,0.840162608569354,0.000445912559976635,0.000439798804584715,0.000451678277927456,0.000436377170040931,0.000454669261410142,14.2496594314248
32,2.14919,energy,-1.61419820115546,0.0051573938683119,0.00513196172077771,0.0051857091508897,0.00511338675333304,0.00519914547544685,4.84804718402867
32,2.14919,magnet,0.835640925415119,0.00390414988442663,0.00381450012746327,0.00399107724869984,0.00376906370226503,0.00404335268150537,13.2580683627819
45,2.14919,energy,-1.56096602552132,0.00259093033759585,0.00257773515237198,0.00260535338354641,0.00257132085540534,0.00261247823446956,4.97474144042655
45,2.14919,magnet,0.836170315406624,0.00191209166054115,0.00187113019264232,0.00195041034331494,0.00185383861960836,0.00197045825118281,15.0897750276405
64,2.14919,energy,-1.63030288209034,0.00128203164208748,0.00127516544921568,0.00128932818847705,0.00127039183619631,0.00129297201193773,4.74875504360854
64,2.14919,magnet,0.836540239837093,0.000931759456136928,0.000918002700524382,0.000945399243657591,0.000911700181119502,0.000952514367387514,13.1189883741974
90,2.14919,energy,-1.60852785143687,0.000647048777510465,0.0006436773074258,0.000650350971830033,0.000641867041752284,0.000652077057262596,4.76108664842349
90,2.14919,magnet,0.83631905882353,0.00047488283467863,0.000468186782570816,0.000481218682588174,0.000464412615382783,0.00048499061957917,13.5330587176369
32,2.15419,energy,-1.66795611213235,0.0052260250120002,0.00519751444927148,0.00525585367670837,0.00518393664033831,0.00526967538502179,5.05173946600335
32,2.15419,magnet,0.832869698660714,0.00411380848392531,0.00400486126288723,0.00423620989604994,0.00393642588378198,0.00429948059828112,16.67134319345
45,2.15419,energy,-1.62386451706609,0.0026432468866617,0.00263024652750513,0.00265671362604294,0.00262335409614192,0.00266493416066514,4.91427462546253
45,2.15419,magnet,0.832467609113738,0.00200634301676972,0.00196819455233531,0.00204140499688361,0.00195002469117935,0.00205922720302415,13.1660634066153
64,2.15419,energy,-1.59439695214023,0.00130625316214692,0.00129929088788982,0.00131327476942053,0.00129484892545999,0.00131755970824802,4.65832842401772
64,2.15419,magnet,0.832753601140895,0.000974273209846616,0.000960979303613605,0.000987391489299759,0.000953760907493537,0.000994104316895725,12.9340410641232
90,2.15419,energy,-1.58354256665629,0.000661055085960448,0.000657750378957285,0.0006644783676217,0.000655870968845381,0.000666216192899815,5.0469073576194
90,2.15419,magnet,0.832634978434847,0.000505313220638321,0.000499721566815167,0.000510487824046173,0.000496036585193837,0.000513776434103957,13.301018841437
32,2.15919,energy,-1.64583441001039,0.00536643671801443,0.00533454309372015,0.00540076688627647,0.00531457564398091,0.00541652385290995,5.61292769345708
32,2.15919,magnet,0.828482536119019,0.00453918799463999,0.00438531532360622,0.00468615676795993,0.0043033562185569,0.00476406892724671,22.2242492681163
45,2.15919,energy,-1.60195291967273,0.00272084205142246,0.00270428133855657,0.00273681028543327,0.00269467013070882,0.00274480595997993,5.74184853847296
45,2.15919,magnet,0.827971442680776,0.00227095571941746,0.00221971982235928,0.00231928804859113,0.00219341517664568,0.00234575727676025,17.2066194145932
64,2.15919,energy,-1.56742568277311,0.00134347048047565,0.00133609717949027,0.00135097319101847,0.00133204747587507,0.00135535179762851,5.18505918445063
64,2.15919,magnet,0.828452925290544,0.00108872914789047,0.00107181471316067,0.00110597541956311,0.00106351174997874,0.00111544631721619,14.7547215332794
90,2.15919,energy,-1.58196938686586,0.000677446080729806,0.000673782618177035,0.000681103777446347,0.000671859241024267,0.000682889942124819,5.22538359832529
90,2.15919,magnet,0.827997679446827,0.000557126949851925,0.000549779360828526,0.000564117605472049,0.000545796407518492,0.000567801067531388,15.0184842173012
32,2.16419,energy,-1.62088643714643,0.00549526127763759,0.00546380806013776,0.00552625491084457,0.00544682988292083,0.00554244904053138,5.76973240238231
32,2.16419,magnet,0.82389380360168,0.00488032758411668,0.00473217909508095,0.00503045767118181,0.00464847244412972,0.00511847739914447,20.8620982053401
45,2.16419,energy,-1.59067060216542,0.00281090938997444,0.00279485617292153,0.0028281590856197,0.00278659875902988,0.00283619733643055,6.03332200505546
45,2.16419,magnet,0.822836966524447,0.00253978845076167,0.00248077353319345,0.00259882109036325,0.00245079231707719,0.00262252179547562,18.136974569904
64,2.16419,energy,-1.61972226234244,0.0013680638306204,0.0013604900083295,0.00137578765425619,0.00135646623557262,0.00137948986779507,5.24167431453278
64,2.16419,magnet,0.824298150275735,0.00115386483164379,0.00113611650445475,0.00117053481276396,0.00112586597176824,0.00118022808062895,14.188865163136
90,2.16419,energy,-1.58476737395343,0.000696133661394446,0.000692205648168385,0.000700157073255841,0.00068983751398121,0.00070216519355064,5.60116791935235
90,2.16419,magnet,0.823859652857609,0.000624165704755013,0.000613700956071264,0.00063370775311209,0.00060648077586219,0.000639426786367406,19.3546849474563
32,2.16919,energy,-1.63418327205882,0.00564108213938682,0.00560703992704338,0.00567902795171752,0.00558760176075039,0.005697410604755,6.56111657344446
32,2.16919,magnet,0.818326156132145,0.00554257503096841,0.00535877240048438,0.00574824290375921,0.00526108968356497,0.00583378364613037,22.1799570359626
45,2.16919,energy,-1.52608119462281,0.00285142123576038,0.0028348397463631,0.00286903556794292,0.00282593098926375,0.00287780569316816,5.68394504010247
45,2.16919,magnet,0.819723633137996,0.00253922971542255,0.00248885954757442,0.0025930246188473,0.00245771338257365,0.00261838118068453,15.9188252507124
64,2.16919,energy,-1.59097195655435,0.00140637027753254,0.00139845475074136,0.00141473088478532,0.00139487243327639,0.00141929688882661,6.1721189259962
64,2.16919,magnet,0.818903985031513,0.00135179176575377,0.00132685703350456,0.00137777421246055,0.00131196166546249,0.00138884440229467,19.9126941690542
90,2.16919,energy,-1.58612430434408,0.000718332858122734,0.000714147753543617,0.000722226759916993,0.000711790243513185,0.000725080629042192,6.20896105760748
90,2.16919,magnet,0.818835033999844,0.000712484421186587,0.000697172665334854,0.000727604260287107,0.000688723827759124,0.000736621317345512,26.4583948274392
32,2.17419,energy,-1.60993731617647,0.00588475454085143,0.00584783162514961,0.00592011756785033,0.00582436271801661,0.00594027504162619,7.09313902801206
32,2.17419,magnet,0.813045999226904,0.00619922830713697,0.00599449715070873,0.00640544218613655,0.00587864246591082,0.00650670281516854,23.0655047936633
45,2.17419,energy,-1.60173336819172,0.00292601831609868,0.00290760325769617,0.00294573099791075,0.00289685643409967,0.00295653229829325,6.55763956238681
45,2.17419,magnet,0.814331562847476,0.00289615575972255,0.00281875534402256,0.00297977068976142,0.00276654835348369,0.00301730849893202,22.7754456879862
64,2.17419,energy,-1.59522930995663,0.00145226158119857,0.00144363978491781,0.00146039604334069,0.00143940072373078,0.00146523116052559,6.26714454172895
64,2.17419,magnet,0.814877806198309,0.00141232679278441,0.00138543332194132,0.00143885407354658,0.00136949514756107,0.00145062648538461,18.7676606647536
90,2.17419,energy,-1.57318657371097,0.000737775680735581,0.000733111173754642,0.000742445927675294,0.00073075016883624,0.000744952672136596,6.50225881122234
90,2.17419,magnet,0.814004367653223,0.000749822952637282,0.000737560416491501,0.000761453343893424,0.000729486765287276,0.000768263220408874,20.6846988785332
32,2.17919,energy,-1.60208182598546,0.0059056919506027,0.00587033005882221,0.00594167332241556,0.00585096110698417,0.00595903308142439,6.44297041627689
32,2.17919,magnet,0.809837149052375,0.006166698612497,0.00596688419001618,0.00634749691944241,0.00586721109375129,0.0064443476637723,20.9224360154428
45,2.17919,energy,-1.57534318165785,0.00302388757192008,0.00300375665646619,0.00304384872628615,0.00299267172307297,0.00305469807246035,7.69509733879401
45,2.17919,magnet,0.809103570079884,0.00345494830857823,0.00333044842429341,0.00357011518144245,0.00324647426521404,0.00363543919184376,27.7015296500953
64,2.17919,energy,-1.58269944852941,0.0014957586994392,0.00148629086838494,0.00150475099850481,0.00148154233292774,0.00151010060452627,7.22096520272427
64,2.17919,magnet,0.809107950019159,0.00163807439594965,0.00159347931151098,0.00168034495934069,0.00156902163570285,0.00169916494255323,24.4382653739016
