side,temp,obs,tau,mean,var
32,2.31419,magnet,40.9793072947232,0.526108467487374,20.0757040301617
32,2.31919,energy,18.6393225696423,-1.32415410748106,1.85447524205721
32,2.31919,magnet,38.5756673459233,0.512728760258838,20.2878573653845
32,2.32419,energy,18.1038013422333,-1.26996797269571,1.81927997997008
32,2.32419,magnet,38.4161582096447,0.49707015072601,20.5457720131207
32,2.32919,energy,16.819139338825,-1.31971972458965,1.79030571410881
32,2.32919,magnet,37.0436482754873,0.482543248895202,20.6512266879026
32,2.33419,energy,17.0850515588225,-1.28653460779672,1.74806983203353
32,2.33419,magnet,36.4846023124207,0.466429971590909,20.6621954767926
32,2.33919,energy,16.6608799355255,-1.35532932844066,1.72677995226696
32,2.33919,magnet,35.8718032531244,0.455792307844066,20.6936706050933
32,2.34419,energy,15.6695741970567,-1.37417180397727,1.69098138863033
