L,temp,energy,spheat
32,2.36918531421302,-1.24148018465909,47.1983475821423
32,2.37418531421302,-1.26315622632576,46.5504359908567
32,2.37918531421302,-1.2404595959596,45.3422527582373
32,2.38418531421302,-1.1641388415404,44.8367172167626
32,2.38918531421302,-1.18536606297348,44.091902424713
32,2.39418531421302,-1.24601500552399,43.6199087906791
32,2.39918531421302,-1.25502930871212,42.7285401383353
32,2.40418531421302,-1.1720607678346,42.0842437831725
32,2.40918531421302,-1.21304677635732,41.4918653614293
32,2.41418531421302,-1.23428012547348,40.8939188814557
45,2.11918531421302,-1.65083573113855,20.6596656842563
45,2.12418531421302,-1.65751748597082,21.2421277708536
45,2.12918531421302,-1.63387240902856,21.8054996991089
45,2.13418531421302,-1.63843622596334,22.2670386222322
45,2.13918531421302,-1.64363526424741,22.9049721859232
45,2.14418531421302,-1.58672418007233,23.6751222061683
45,2.14918531421302,-1.63728733458037,24.2836446056599
45,2.15418531421302,-1.65238231999002,24.9487434185462
45,2.15918531421302,-1.59494317994762,25.6480261660395
45,2.16418531421302,-1.58727152213493,26.408621749256
45,2.16918531421302,-1.55834433620152,27.1292732365734
45,2.17418531421302,-1.58897257214116,27.8754104929812
45,2.17918531421302,-1.60422227010849,28.919260471077
45,2.18418531421302,-1.57521970719541,29.8808151371935
45,2.18918531421302,-1.54155032797107,30.7905890967479
45,2.19418531421302,-1.58444541813194,31.8473076302844
45,2.19918531421302,-1.55853442075072,32.9264442024264
45,2.20418531421302,-1.58084645965831,34.3405534493745
45,2.20918531421302,-1.49010927247787,34.8364524522456
45,2.21418531421302,-1.57816376505799,36.5872011455151
45,2.21918531421302,-1.52892420102257,37.8371860569961
45,2.22418531421302,-1.46450745479486,39.5426928407158
45,2.22918531421302,-1.53442830677142,40.5879631856081
45,2.23418531421302,-1.50993607781519,42.8305227128952
45,2.23918531421302,-1.49097887118095,43.7532460067078
45,2.24418531421302,-1.43839786107994,45.6952788107133
45,2.24918531421302,-1.47216158822796,47.4605019928238
45,2.25418531421302,-1.45576721286944,49.6405971501184
45,2.25918531421302,-1.48281323855842,50.7896707537681
45,2.26418531421302,-1.46320904850979,51.9592915637856
45,2.26918531421302,-1.41789575158997,53.7357014046192
45,2.27418531421302,-1.43046462052625,54.6856075801432
45,2.27918531421302,-1.42039549669535,55.6805867387933
45,2.28418531421302,-1.37572710013717,56.2314199118164
45,2.28918531421302,-1.33423957301409,56.9960145047184
45,2.29418531421302,-1.41588773662551,57.1794588952092
45,2.29918531421302,-1.42486944107744,57.2441893500886
45,2.30418531421302,-1.3402413029056,56.6672611792771
45,2.30918531421302,-1.39880688365133,56.7700891388768
45,2.31418531421302,-1.3390736580621,55.7320455206251
45,2.31918531421302,-1.32054956478364,54.6509215911763
45,2.32418531421302,-1.33974580970196,53.5165953889311
45,2.32918531421302,-1.3519371432847,52.4916651387433
45,2.33418531421302,-1.33919075395935,51.4067715800202
45,2.33918531421302,-1.35359151415388,50.0125462926991
45,2.34418531421302,-1.25607871704701,48.7789869371498
45,2.34918531421302,-1.25556098067091,47.6737728463356
45,2.35418531421302,-1.27445024865943,46.9237414037442
45,2.35918531421302,-1.28779166080559,45.3558251761359
45,2.36418531421302,-1.25688843396932,44.5250436020191
45,2.36918531421302,-1.25836424292306,43.8979011239593
45,2.37418531421302,-1.25176608554683,42.8802446986374
45,2.37918531421302,-1.24313411048759,41.740346619068
45,2.38418531421302,-1.28852060955231,41.2435777885393
45,2.38918531421302,-1.24547123581494,40.2215945541076
45,2.39418531421302,-1.24205520488839,40.105380636657
45,2.39918531421302,-1.16768144656441,39.3674898173595
45,2.40418531421302,-1.18719737024567,38.8734396145164
45,2.40918531421302,-1.17745931612421,38.3859940578556
45,2.41418531421302,-1.18175933757326,37.9983501334777
64,2.11918531421302,-1.68798593651357,20.6026351025345
64,2.12418531421302,-1.62079378945707,21.2424125192418
64,2.12918531421302,-1.64783375552399,21.6960985125912
64,2.13418531421302,-1.61316248323075,22.3251951373702
64,2.13918531421302,-1.61055164240057,22.9629911469603
64,2.14418531421302,-1.61383964942393,23.6666773745675
64,2.14918531421302,-1.6096292011916,24.2991544152485
64,2.15418531421302,-1.58291632240372,25.0110685421848
64,2.15918531421302,-1.59624313742898,25.7002850609348
64,2.16418531421302,-1.55939775390625,26.6305998310088
64,2.16918531421302,-1.61086836332071,27.224557427687
64,2.17418531421302,-1.58957623106061,27.9909908484034
64,2.17918531421302,-1.59299347182765,28.6924931402109
64,2.18418531421302,-1.57727327375316,29.796142183613
64,2.18918531421302,-1.53280794468119,31.0378958280025
64,2.19418531421302,-1.56533346551452,31.9713565260157
64,2.19918531421302,-1.50580699277936,32.8433290489704
64,2.20418531421302,-1.58167335661301,34.1491864290879
64,2.20918531421302,-1.54152408360953,35.2197253545318
64,2.21418531421302,-1.53592882536301,36.3490443512287
64,2.21918531421302,-1.53688340632891,38.2690028593165
64,2.22418531421302,-1.52309462890625,39.7743942135074
64,2.22918531421302,-1.50314848484848,41.0449835181687
64,2.23418531421302,-1.49556466027462,42.8952770990829
64,2.23918531421302,-1.461223518387,45.7443300902765
64,2.24418531421302,-1.48438449830335,47.3981953766537
64,2.24918531421302,-1.45621976799242,49.5742386587695
64,2.25418531421302,-1.47304110341698,53.066743641082
64,2.25918531421302,-1.41323008601641,55.0235639467967
64,2.26418531421302,-1.43758827927715,56.3635527481802
64,2.26918531421302,-1.43543917199337,57.5535566257352
64,2.27418531421302,-1.39964020083649,59.4916043582863
64,2.27918531421302,-1.37363286576705,60.4997433351725
64,2.28418531421302,-1.40220333412247,61.5714102433721
64,2.28918531421302,-1.38917498125789,60.9737823935346
64,2.29418531421302,-1.35801441662721,60.457864216181
64,2.29918531421302,-1.34696047289299,59.3333891002803
64,2.30418531421302,-1.37867239386048,58.0545343531708
64,2.30918531421302,-1.36235326112689,56.77339185734
64,2.31418531421302,-1.30297358645044,55.3661595934034
64,2.31918531421302,-1.34397560566604,53.3268907180027
64,2.32418531421302,-1.30609092092803,50.7814921803262
64,2.32918531421302,-1.24692799380524,49.5411441876443
64,2.33418531421302,-1.30687173295455,48.1642078672944
64,2.33918531421302,-1.30615653705019,47.1035116564959
64,2.34418531421302,-1.28714172387942,45.0862669036968
64,2.34918531421302,-1.29715237235638,44.4732554559774
